Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	Description	Ontology	Definition
GO:0003700	-0.0239185461510448	-0.0644661747076108	-0.0709511363923052	0.0591856074865051	0.0518641976206505	0.0661374135738972	-0.404127746031812	-1.24298027666667	-1.07278365690895	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA binding transcription factor activity	MF	Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
GO:0016491	-0.0005561327454761	-0.0121052300548695	-0.0421127066887969	0.0543981102445902	0.0477419824184608	0.0632400166957844	-0.0102233835509278	-0.253555245125068	-0.6659186522891	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	oxidoreductase activity	MF	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.
GO:0005525	0.00581981335567412	0.00542168886651644	0.00149036462670144	0.0517258703622043	0.0452716512119701	0.0588534450120399	0.112512623082445	0.119759026264165	0.0253233200944576	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	GTP binding	MF	Interacting selectively and non-covalently with GTP, guanosine triphosphate.
GO:0005737	0.000802916496106836	-0.00620602982789286	-0.00637701298498598	0.0514390428017904	0.0443102340852397	0.0588321156373113	0.0156090870353227	-0.140058610747899	-0.108393399011843	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	cytoplasm	CC	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.
GO:0003723	0.00443210656384902	0.0110239618948574	0.00994260538340269	0.0515952463900639	0.0439698713929001	0.057298250933347	0.0859014516636272	0.250716264242643	0.173523715321931	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	RNA binding	MF	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
GO:0007165	-0.0456325126157285	-0.100685761985322	-0.121368857417305	0.0625112469713232	0.0563146316015991	0.0695971384075687	-0.729988839234998	-1.78791477670721	-1.74387712188044	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	signal transduction	BP	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.
GO:0006508	-0.00187357276229687	0.00538325253532691	0.0326103368221692	0.0516737976091882	0.0448865903663482	0.0574912864244277	-0.0362576944018476	0.119930083603828	0.567222249671444	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	proteolysis	BP	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.
GO:0004553	-0.0143984069650697	-0.0204211217232701	-0.0457596047694288	0.0637275126777958	0.0552263562937179	0.0690553133436193	-0.225937061718815	-0.369771302938432	-0.662651468131482	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	hydrolase activity, hydrolyzing O-glycosyl compounds	MF	Catalysis of the hydrolysis of any O-glycosyl bond.
GO:0000155	-0.0424097718179381	-0.102496027133333	-0.118985065187162	0.0633000938101862	0.0568496108269209	0.0703286172069239	-0.669979604534387	-1.80293278427856	-1.69184422945611	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	phosphorelay sensor kinase activity	MF	Catalysis of the phosphorylation of a histidine residue in response to detection of an extracellular signal such as a chemical ligand or change in environment, to initiate a change in cell state or activity. The two-component sensor is a histidine kinase that autophosphorylates a histidine residue in its active site. The phosphate is then transferred to an aspartate residue in a downstream response regulator, to trigger a response.
GO:0005515	0.00652112204008111	-0.0118129054174548	0.00606677414937448	0.0532600092132127	0.0457833792434023	0.0600498065711538	0.122439371235846	-0.258017333204104	0.101029037323973	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	protein binding	MF	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).
GO:0000160	-0.0348030133938697	-0.0981841716043345	-0.122109865380554	0.0651212149546109	0.0584430091045102	0.073874603853586	-0.534434337844084	-1.6799985679854	-1.65293428337791	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	phosphorelay signal transduction system	BP	A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.
GO:0006310	-0.00951621546541775	-0.064847080172165	-0.0528516649564815	0.0571671353924463	0.0507392640673462	0.0643380518529666	-0.166463045595865	-1.27804534346603	-0.821468220350606	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA recombination	BP	Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction.
GO:0006412	0.0147576139472189	0.0185266802666673	0.0261638614525719	0.0508139888188629	0.0437379946778988	0.056160225760691	0.290424237306492	0.423583211875715	0.465878851058415	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	translation	BP	The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.
GO:0006260	0.00978690751217501	-0.00650822216356849	-0.0201129693783484	0.0526163880627691	0.0460841195745997	0.0589871856168316	0.186004928740066	-0.141224834577412	-0.340971842749001	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA replication	BP	The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.
GO:0006265	0.0173453283718805	-0.00834436110658299	-0.0207817442368763	0.0550625634365314	0.046822441555748	0.0617506770211935	0.31501127607097	-0.17821285753858	-0.33654277555117	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA topological change	BP	The process in which a transformation is induced in the topological structure of a double-stranded DNA helix, resulting in a change in linking number.
GO:0003735	0.0152851059631789	0.0194250027807373	0.0277722941742935	0.050820208530713	0.0437489687407729	0.0561128196206108	0.300768265323851	0.444010529615836	0.494936707192173	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	structural constituent of ribosome	MF	The action of a molecule that contributes to the structural integrity of the ribosome.
GO:0009058	0.013660639666376	0.01550747220864	0.0199080248441707	0.0511946152635517	0.0433804289763307	0.0566523541835652	0.266837431945735	0.35747623005529	0.351406841446776	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
GO:0003676	0.0109423749594425	0.0191529688980045	0.00934323813931022	0.0507516238954448	0.0437370875785809	0.056315275348002	0.215606400732817	0.437911391872928	0.165909481602876	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	nucleic acid binding	MF	Interacting selectively and non-covalently with any nucleic acid.
GO:0008757	-0.00279107647565122	-0.0344250982172242	-0.0278067348393806	0.0551804193080826	0.0481124934188622	0.0611794123506673	-0.0505809218314946	-0.715512661493616	-0.454511309785036	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	S-adenosylmethionine-dependent methyltransferase activity	MF	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate.
GO:0004812	0.00496016111708085	0.0210106219328006	0.0190516066708496	0.0500224536890106	0.0439560639732515	0.0563905987071806	0.0991586927726128	0.477991431297992	0.337850760723056	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	aminoacyl-tRNA ligase activity	MF	Catalysis of the formation of aminoacyl-tRNA from ATP, amino acid, and tRNA with the release of diphosphate and AMP.
GO:0006281	0.0130140833037313	0.00421024390915053	0.00356685362437032	0.0528477717935112	0.0448303935917473	0.0581390579694655	0.24625604565847	0.0939149441223193	0.0613503855917931	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA repair	BP	The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.
GO:0006351	-0.0123687151234379	0.0249739235312797	0.0119978422439276	0.0514173815692622	0.0456815142494261	0.0574086140813134	-0.240555134196723	0.546696490727504	0.20899027847866	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	transcription, DNA-templated	BP	The cellular synthesis of RNA on a template of DNA.
GO:0003899	-0.013039884350886	0.0290012288893332	0.0153085309058163	0.0514794165661352	0.0458058357932049	0.0574190054990876	-0.253302877551725	0.63313393123667	0.266610868174295	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA-directed 5'-3' RNA polymerase activity	MF	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.
GO:0051536	-0.012612700225538	-0.0282024327475201	-0.0345721896568266	0.0545399919111688	0.0483771863445172	0.0630264996942061	-0.231255997362097	-0.582969678035367	-0.548534185216775	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	iron-sulfur cluster binding	MF	Interacting selectively and non-covalently with an iron-sulfur cluster, a combination of iron and sulfur atoms.
GO:0005840	0.0148897259368191	0.0208202742014367	0.0299161119410408	0.0506962591596137	0.0436546853514132	0.0559795049083554	0.293704627987241	0.476931033492438	0.534411870737635	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ribosome	CC	An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.
GO:0046872	-0.0124419190888113	-0.0208394538274088	-0.0239299529941343	0.0525925031292408	0.0454882385637417	0.06044981489864	-0.236572103408665	-0.458128397260468	-0.395864785264589	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	metal ion binding	MF	Interacting selectively and non-covalently with any metal ion.
GO:0006418	0.00448498682996866	0.0192899118864336	0.0145576427474641	0.0501645212970255	0.0443384063256185	0.0564643326353124	0.0894055542444615	0.435061011096558	0.257820150669059	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	tRNA aminoacylation for protein translation	BP	The synthesis of aminoacyl tRNA by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid  group of an amino acid, to be used in ribosome-mediated polypeptide synthesis.
GO:0008168	-0.0160029673718348	-0.0239022337514392	-0.0185546378120954	0.053304796581666	0.0462942279646589	0.0602183475589392	-0.300216273170039	-0.516311315736516	-0.308122666334124	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	methyltransferase activity	MF	Catalysis of the transfer of a methyl group to an acceptor molecule.
GO:0016787	0.0142096187524583	0.0170073024756281	0.0140546198832602	0.0523378234640456	0.044965144119559	0.0576496478067035	0.271498083259421	0.378233024904955	0.243793681626376	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	hydrolase activity	MF	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.
GO:0003918	0.0101994699707634	0.0120469296944022	0.0175328531476395	0.0533735347991427	0.0455060342794369	0.0601488978700037	0.191096018076121	0.264732576352977	0.291490846358186	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA topoisomerase type II (ATP-hydrolyzing) activity	MF	Catalysis of a DNA topological transformation by transiently cleaving a pair of complementary DNA strands to form a gate through which a second double-stranded DNA segment is passed, after which the severed strands in the first DNA segment are rejoined; product release is coupled to ATP binding and hydrolysis; changes the linking number in multiples of 2.
GO:0009401	-0.0398391967623495	-0.0768148498417238	-0.100148630888961	0.079358966746565	0.0671429076326838	0.0987758690817123	-0.502012543706334	-1.14405009479113	-1.01389774466184	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	phosphoenolpyruvate-dependent sugar phosphotransferase system	BP	The uptake and phosphorylation of specific carbohydrates from the extracellular environment; uptake and phosphorylation are coupled, making the PTS a link between the uptake and metabolism of sugars; phosphoenolpyruvate is the original phosphate donor; phosphoenolpyruvate passes the phosphate via a signal transduction pathway, to enzyme 1 (E1), which in turn passes it on to the histidine protein, HPr; the next step in the system involves sugar-specific membrane-bound complex, enzyme 2 (EII), which transports the sugar into the cell; it includes the sugar permease, which catalyzes the transport reactions; EII is usually divided into three different domains, EIIA, EIIB, and EIIC.
GO:0015297	-0.00248285491403509	-0.0466175712351328	-0.0365105188584508	0.0633403768236722	0.0575440802411866	0.0724684772127931	-0.0391986129313201	-0.810119321392277	-0.503812419726207	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	antiporter activity	MF	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).
GO:0008270	-0.00701509583854745	-0.0250833930399717	-0.038472278894756	0.0549302950522016	0.0468835837811003	0.0621513043522768	-0.127709050750243	-0.535014412658517	-0.619009999801342	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	zinc ion binding	MF	Interacting selectively and non-covalently with zinc (Zn) ions.
GO:0043565	-0.0255037399934272	-0.075423443232633	-0.0768167131321555	0.0665975757455154	0.0599518889049487	0.0760465896556465	-0.382952978512053	-1.25806616956163	-1.01012699556938	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	sequence-specific DNA binding	MF	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.
GO:0042910	-0.00649228396662126	-0.0525616095991946	-0.0424673060802342	0.0647883365004032	0.0591841134846621	0.0743478184438309	-0.100207603981017	-0.88810335247847	-0.571197742840537	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	xenobiotic transmembrane transporter activity	MF	Enables the directed movement of a xenobiotic, a compound foreign to living organisms, from one side of a membrane to the other.
GO:0006298	-0.000253427465571338	-0.0213820029143667	0.0508377903058388	0.0554717152043848	0.0511079831353499	0.0592973749205889	-0.00456858895813097	-0.418369139274004	0.857336271191108	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	mismatch repair	BP	A system for the correction of errors in which an incorrect base, which cannot form hydrogen bonds with the corresponding base in the parent strand, is incorporated into the daughter strand. The mismatch repair system promotes genomic fidelity by repairing base-base mismatches, insertion-deletion loops and heterologies generated during DNA replication and recombination.
GO:0000287	0.00545346464968611	0.000624574898004518	-0.0190646286230935	0.0525583481707709	0.0454229314256683	0.0608464966521818	0.103760198702723	0.0137502111466891	-0.313323357498676	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	magnesium ion binding	MF	Interacting selectively and non-covalently with magnesium (Mg) ions.
GO:0030983	-0.00240052211984847	-0.0305676485757151	0.0415518885181291	0.0563553005776207	0.0524775163136124	0.0600855309119485	-0.0425962082580346	-0.582490382986858	0.691545666443736	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	mismatched DNA binding	MF	Interacting selectively and non-covalently with double-stranded DNA containing one or more mismatches.
GO:0022857	-0.00871150626447197	0.01099099588551	-0.00651694166325755	0.050240582404294	0.0439762696425653	0.0558466831388046	-0.173395805692878	0.249930154941374	-0.116693441704675	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	transmembrane transporter activity	MF	Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.
GO:0006096	-0.0180257137136303	-0.0204558421809805	-0.0363703211662143	0.054294575555893	0.0471437160281818	0.0615688263143679	-0.331998427634338	-0.433903898639478	-0.590726238315944	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	glycolytic process	BP	The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules.
GO:0000150	-0.0315351208543427	-0.14535379707871	-0.125528835498762	0.0709038196440052	0.0660827138729105	0.081145130205993	-0.444759125991725	-2.19957366397289	-1.54696696129636	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	recombinase activity	MF	Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA.
GO:0016310	-0.0280933969361678	-0.0461500163655302	-0.0414041377182778	0.053046425577495	0.0454129780157494	0.0585036056542444	-0.5296001875777	-1.01622968547725	-0.707719417551387	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	phosphorylation	BP	The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide.
GO:0003924	0.00345591743784737	0.0070534083408394	9.71494826624887e-05	0.0520370516630511	0.0456751818289445	0.0593861642174785	0.066412629605248	0.154425402557886	0.00163589421783022	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	GTPase activity	MF	Catalysis of the reaction: GTP + H2O = GDP + phosphate.
GO:0006352	-0.0262096979842319	-0.0420940473483475	-0.0369932555810269	0.0549184269103009	0.0486129933804721	0.0610252248951106	-0.47724779202144	-0.865901159776282	-0.606196136837029	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA-templated transcription, initiation	BP	Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.
GO:0015074	-0.0108685793511715	-0.0462370033096061	-0.0382466992323488	0.0565993096739482	0.0502507519962926	0.0649976334285821	-0.192026712229923	-0.920125599573462	-0.588432181525092	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA integration	BP	The process in which a segment of DNA is incorporated into another, usually larger, DNA molecule such as a chromosome.
GO:0030170	0.010121420322618	0.0166481888039595	-0.0111604278682852	0.0529220977774469	0.0452922018835656	0.059660978002229	0.19125130612134	0.367572962046705	-0.187064111953851	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	pyridoxal phosphate binding	MF	Interacting selectively and non-covalently with pyridoxal 5' phosphate, 3-hydroxy-5-(hydroxymethyl)-2-methyl4-pyridine carboxaldehyde 5' phosphate, the biologically active form of vitamin B6.
GO:0008982	-0.0393761607269524	-0.0728975004663596	-0.0914835526372545	0.0818767075404484	0.0689015885721527	0.101325287627579	-0.480920177542557	-1.05799448136123	-0.902869903251619	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + sugar(out) = protein histidine + sugar phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
GO:0016772	-0.0346803926239611	-0.0622297719900108	-0.0731805315455491	0.0558543399046672	0.0478057814087925	0.062016689729624	-0.620907751898134	-1.30172063202727	-1.18001350708328	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	transferase activity, transferring phosphorus-containing groups	MF	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
GO:0051539	-0.0101231140434296	-0.0188817150883024	-0.0154999690050327	0.0527376909788676	0.0460412264242	0.0606409304418469	-0.191952166572594	-0.410104520551562	-0.255602427141133	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	4 iron, 4 sulfur cluster binding	MF	Interacting selectively and non-covalently with a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands.
GO:0003916	0.0275872874213486	-0.0279727304882215	-0.0562418868596112	0.0603519195403026	0.0513313671925223	0.0675415697109807	0.457107042020858	-0.544944193348827	-0.832700322190877	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA topoisomerase activity	MF	Catalysis of the transient cleavage and passage of individual DNA strands or double helices through one another, resulting a topological transformation in double-stranded DNA.
GO:0016881	0.0124034401061097	0.0196464743068834	0.031305469131738	0.0519332956238029	0.0442567766312901	0.0575674239687994	0.238834065066049	0.443920136131041	0.543805280373584	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	acid-amino acid ligase activity	MF	Catalysis of the ligation of an acid to an amino acid via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.
