Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO:0006888	0.0972405008055028	0.186701510764889	0.400759670230919	0.19820563711768	0.183177451990479	0.1957052240582	0.400759670230919	0.046	0.307147335423197	FALSE	TRUE	ER to Golgi vesicle-mediated transport	BP	The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.
GO:0030127	0.0846387473212152	0.240956361376768	0.407197307094937	0.199342010208088	0.176292675414805	0.194912037722893	0.407197307094937	0.034	0.264306569343066	FALSE	TRUE	COPII vesicle coat	CC	One of two multimeric complexes that forms a membrane vesicle coat. COPII is best characterized in S. cerevisiae, where the subunits are called Sar1p, Sec13p, Sec31p, Sec23p, and Sec24p. Vesicles with COPII coats are found associated with endoplasmic reticulum (ER) membranes at steady state.
GO:0004586	6.97690687730033e-11	0.281013172411886	0.653458801143772	0.221660141176749	0.186318115302279	0.262564756621906	0.653458801143772	0.012	0.154909090909091	FALSE	TRUE	ornithine decarboxylase activity	MF	Catalysis of the reaction: L-ornithine + H(+) = CO(2) + putrescine.
GO:0030798	-7.20719413833185e-11	-0.21121307653574	-0.304350788920643	0.220426167432841	0.199522236543454	0.244188449416706	0.304350788920643	0.248	0.698730158730159	FALSE	TRUE	trans-aconitate 2-methyltransferase activity	MF	Catalysis of the reaction: S-adenosyl-L-methionine + trans-aconitate = (E)-3-(methoxycarbonyl)pent-2-enedioate + S-adenosyl-L-homocysteine.
GO:0005384	0.164568380857735	0.164568380869685	0.182278844321256	0.188306507401086	0.1878583715747	0.29780202332113	0.182278844321256	0.722	0.990095907928389	FALSE	TRUE	manganese ion transmembrane transporter activity	MF	Enables the transfer of manganese (Mn) ions from one side of a membrane to the other.
GO:0030026	0.164568380857735	0.164568380869685	0.182278844321256	0.188306507401086	0.1878583715747	0.29780202332113	0.182278844321256	0.697	0.977360105332456	FALSE	TRUE	cellular manganese ion homeostasis	BP	Any process involved in the maintenance of an internal steady state of manganese ions at the level of a cell.
GO:0045152	-5.0336803036666e-12	-0.179863847546839	-0.181635447248948	0.136039731633636	0.115582705826047	0.155663362810976	0.181635447248948	0.3	0.7525	FALSE	TRUE	antisigma factor binding	MF	Interacting selectively and non-covalently with an antisigma factor, a factor which inhibits the ability of the sigma factor to function as a transcriptional initiator.
GO:0015112	-0.121439194967986	-0.214860069591351	-0.411873862812612	0.244025280880928	0.216106944661541	0.288080143645475	0.411873862812612	0.158	0.56847972972973	FALSE	TRUE	nitrate transmembrane transporter activity	MF	Enables the transfer of nitrate ions (NO3-) from one side of a membrane to the other.
GO:0004808	-0.197612456812108	-0.346800451770344	-0.516382640658156	0.224008497307001	0.199339345533968	0.265572740355257	0.516382640658156	0.056	0.343746397694524	FALSE	TRUE	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	MF	Catalysis of the reaction: S-adenosyl-L-methionine + tRNA containing 5-aminomethyl-2-thiouridine = S-adenosyl-L-homocysteine + tRNA containing 5-methylaminomethyl-2-thiouridylate.
GO:0047111	1.08070502292163e-10	0.154359755322397	0.275140684578656	0.22846436357292	0.192731770452767	0.264978332126881	0.275140684578656	0.392	0.81459512195122	FALSE	TRUE	formate dehydrogenase (cytochrome-c-553) activity	MF	Catalysis of the reaction: ferricytochrome C-553 + formate = ferrocytochrome C-553 + CO2.
GO:0003810	-2.66977465846799e-10	-0.00467766560148897	-1.14059488742591	0.216877597165221	0.194459168396398	0.264133452498861	1.14059488742591	0	0	TRUE	FALSE	protein-glutamine gamma-glutamyltransferase activity	MF	Catalysis of the reaction: protein glutamine + alkylamine = protein N5-alkylglutamine + NH3. This reaction is the formation of the N6-(L-isoglutamyl)-L-lysine isopeptide, resulting in cross-linking polypeptide chains; the gamma-carboxamide groups of peptidyl-glutamine residues act as acyl donors, and the 6-amino-groups of peptidyl-lysine residues act as acceptors, to give intra- and intermolecular N6-(5-glutamyl)lysine cross-links.
GO:0018149	-2.01607280849573e-11	-6.13295550473584e-10	-1.21860917179409	0.217777966561717	0.19374559420124	0.267815459849546	1.21860917179409	0	0	TRUE	FALSE	peptide cross-linking	BP	The formation of a covalent cross-link between or within protein chains.
GO:0003867	-0.0166372529535044	-0.135834789609395	-0.135834789697349	0.212522869552743	0.188513452249075	0.243846847296933	0.135834789697349	0.748	0.999469234382339	FALSE	TRUE	4-aminobutyrate transaminase activity	MF	Catalysis of the reaction: 4-aminobutanoate + amino group acceptor = succinate semialdehyde + amino acid.
GO:0009448	-0.0166372529535044	-0.135834789609395	-0.135834789697349	0.212522869552743	0.188513452249075	0.243846847296933	0.135834789697349	0.744	0.999192938209332	FALSE	TRUE	gamma-aminobutyric acid metabolic process	BP	The chemical reactions and pathways involving gamma-aminobutyric acid (GABA, 4-aminobutyrate), an amino acid which acts as a neurotransmitter in some organisms.
GO:0036054	-0.321242340242016	-0.321242340288329	-0.321242340325908	0.221088560896128	0.193289004748006	0.249371551055233	0.321242340325908	0.241	0.689959677419355	FALSE	TRUE	protein-malonyllysine demalonylase activity	MF	Catalysis of the reaction: protein-malonyllysine + H2O => protein-lysine + malonate. This reaction is the removal of a malonyl group (CO-CH2-CO) from a malonylated lysine residue of a protein or peptide.
GO:0036055	-0.321242340242016	-0.321242340288329	-0.321242340325908	0.221088560896128	0.193289004748006	0.249371551055233	0.321242340325908	0.232	0.674160982264666	FALSE	TRUE	protein-succinyllysine desuccinylase activity	MF	Catalysis of the reaction: protein-succinyllysine + H2O => protein-lysine + succinate. This reaction is the removal of a succinyl group (CO-CH2-CH2-CO) from a succinylated lysine residue of a protein or peptide.
GO:1901285	3.80651298874168e-11	8.09726067223681e-11	-0.283593098622026	0.225353026729333	0.191476434544453	0.272948782893606	0.283593098622026	0.337	0.780228260869565	FALSE	TRUE	5,6,7,8-tetrahydromethanopterin biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of 5,6,7,8-tetrahydromethanopterin.
GO:0018826	6.15382987221672e-10	0.132568096414733	0.181076100046514	0.214360659997949	0.18173827705169	0.263896292752367	0.181076100046514	0.613	0.940021598272138	FALSE	TRUE	methionine gamma-lyase activity	MF	Catalysis of the reaction: L-methionine = methanethiol + NH3 + 2-oxobutanoate.
GO:0016274	-4.68596680732606e-10	-3.79210589102992e-10	-0.119587140409203	0.231477752039858	0.193038573322779	0.266859784694811	0.119587140409203	0.845	0.999469234382339	FALSE	TRUE	protein-arginine N-methyltransferase activity	MF	Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine.
GO:0018216	-4.68596680732606e-10	-3.79210589102992e-10	-0.119587140409203	0.231477752039858	0.193038573322779	0.266859784694811	0.119587140409203	0.838	0.999469234382339	FALSE	TRUE	peptidyl-arginine methylation	BP	The addition of a methyl group to an arginine residue in a protein.
GO:0071518	0.0976521383272228	0.225665111046547	0.35048176803791	0.186387140976777	0.161440155611576	0.215792666636311	0.35048176803791	0.116	0.491212723658052	FALSE	FALSE	autoinducer-2 kinase activity	MF	Catalysis of the reaction: 4,5-dihydroxy-pentane-2,3-dione + ATP = 5-phospho-4-hydroxy-pentane-2,3-dione (P-DPD) + ADP.
GO:0008824	-3.27063519008914e-10	-0.0206610382944638	-0.128890424256326	0.204261938314723	0.186281512731802	0.259900717113112	0.128890424256326	0.806	0.999469234382339	FALSE	TRUE	cyanate hydratase activity	MF	Catalysis of the reaction: cyanate + H2O = carbamate.
GO:0010340	-0.186373194601635	-0.21423575559757	-0.373904939388663	0.21987859303753	0.196419818885527	0.269073351672099	0.373904939388663	0.196	0.625907046476762	FALSE	TRUE	carboxyl-O-methyltransferase activity	MF	Catalysis of the transfer of a methyl group to the carboxyl group of an acceptor molecule to form a methyl ester.
