Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4
s__Blautia_faecicola	0.701445989544624	-0.261244304247353	-0.175355645061271	0.347225527200591	0.333780763236215	0.431051472399054	2.02014522146409	-0.782682326310315	-0.40680906177008	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Bacteroides_uniformis	-0.254092821436488	-0.815835979483933	-1.37395549442063	0.534843388309811	0.47274408204211	0.555930132707711	-0.475078924018228	-1.72574551533204	-2.47145353990555	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Ruminococcus_gnavus	-0.170136163450421	-0.735583909557035	-1.00292148007495	0.342226104886554	0.322078504804168	0.361121458082109	-0.497145486627386	-2.28386526447733	-2.77724144502904	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Anaerobutyricum_soehngenii	0.0194467478317637	-0.320693732474814	-0.218099829026547	0.359955011451556	0.340873341593087	0.411321724106987	0.0540254954455077	-0.940800271960364	-0.530241453937448	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Oscillibacter_sp._ER4	0.00605677443719201	0.739139785381309	0.4982383717291	0.417127101348526	0.371921702263733	0.503031465760474	0.0145202131858878	1.98735320064	0.990471582082589	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Prevotella_stercorea	0.491499236676737	1.52753121226689	2.18179139066566	0.569893492028821	0.53521832988051	0.642889197904131	0.862440514853046	2.85403381571017	3.39372849594995	0.389499150761032	0.00478082946699774	0.000834304883992284	1	0.178939617193344	0.0320611448277035	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
s__sp._4	0.072211745823556	-0.000475420280115613	-0.0636238240481808	0.216300935714956	0.199667710395941	0.243792132625873	0.333848513344933	-0.00238105740368763	-0.260975706487702	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Prevotella_hominis	0.72708958455238	1.09986116246424	1.12433338879477	0.558327526385839	0.537977775573069	0.704258198613973	1.30226354637926	2.04443605740523	1.5964789490666	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Roseburia_intestinalis	-0.25941321609504	-0.456831740429796	-0.807744826338996	0.310116935221918	0.27745263146696	0.322351426251806	-0.836501289132775	-1.64652156303011	-2.50578952211002	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Ellagibacter_isourolithinifaciens	0.546831558757557	0.844329215852992	0.947788974290802	0.439809630980845	0.383866311656748	0.440902856481396	1.24333693543281	2.19953976218676	2.14965487376196	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Coprococcus_eutactus	0.0421495201753768	0.219918307485251	-0.142250556286876	0.368840094876922	0.323697187816323	0.399796311863125	0.114275863065922	0.67939517475833	-0.355807575172371	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Akkermansia_muciniphila	0.461941558526003	-1.22297016196406	-1.53495058985361	0.702398140706722	0.599339203589071	0.685754291355378	0.65766341303412	-2.04053089576061	-2.23833902201299	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Blautia_sp._BIOML_A1	0.280730998663303	-0.19653748612807	-0.266212894089753	0.457647101013293	0.411603745578693	0.549244441216428	0.61342243410201	-0.477491976784002	-0.48468928242617	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Vescimonas_coprocola	0.107154697420426	0.223368671068762	0.389547250682358	0.41913826734776	0.365370343056217	0.443765179052117	0.255654770199065	0.611348663934648	0.877822932196778	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._5	-0.015597021029477	-0.0627868061573325	-0.127819450599303	0.249428254625517	0.238738355428331	0.302811633435811	-0.0625310915673684	-0.262994214082961	-0.422108784755119	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Eubacterium_ramulus	-0.64854160233595	-0.681289251150249	-0.974610629861662	0.395882880368475	0.37292261493764	0.44948511925099	-1.63821583224894	-1.82689175679028	-2.16828230372949	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__sp._6	-0.0102021867217365	0.0250772984299942	0.153113519820919	0.240328071934854	0.214659896744654	0.258249310638947	-0.0424510821378456	0.116823397431447	0.592890333151686	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Faecalibacterium_sp._HTFF	-0.258562384520548	-0.0492386836552827	0.3167862906193	0.381122663188347	0.370648299712969	0.489249871376195	-0.678423010475158	-0.132844757937412	0.647493865922175	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Coprococcus_catus	-0.146374126178514	-0.327903438617263	-0.663518300762834	0.267120146515732	0.236865405807339	0.297817003662562	-0.547971121189443	-1.38434499330802	-2.22793961594828	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Evtepia_gabavorous	-0.0944310294787381	-0.218117917633608	-0.0887694219360492	0.330132733873251	0.298983832314443	0.368255663953563	-0.286039582839408	-0.729530810897533	-0.241053785793891	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Dialister_succinatiphilus	-1.59782324346002	-0.0305023582357651	0.963076716541558	0.631501363941421	0.660440042766196	0.798807807619004	-2.53019761269785	-0.0461849013697119	1.20564259306902	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
s__Blautia_stercoris	0.364833234812881	-0.16353331698563	-0.197290813506864	0.463887915134511	0.418867689207045	0.541406170684168	0.786468504373719	-0.390417597726894	-0.364404441969234	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Lentihominibacter_faecis	0.463506198952052	0.135954437802987	-0.197467351063525	0.37837600826012	0.352395185061575	0.441737803576999	1.22498834184383	0.385801065298979	-0.447023889430611	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__sp._7	0.00907008409678403	-0.252363733759197	-0.379261558118141	0.215109288179768	0.199578225450831	0.24609767642143	0.042165004466028	-1.26448530739828	-1.54110174314964	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Parolsenella_catena	-0.275591969947688	1.20793827548308	0.956092035492182	0.641296455167468	0.525263730784586	0.69291573464678	-0.429741920023119	2.29967957939679	1.37980996488636	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Senegalimassilia_anaerobia	0.48766812567551	0.572473740437556	0.796861325980432	0.553666088309131	0.480325659308286	0.533113774624245	0.880798257239892	1.19184501044973	1.49473032570221	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
s__Collinsella_bouchesdurhonensis	0.661615443975366	0.836034361062653	0.531186039210115	0.503077478898593	0.445979261934108	0.590496640583587	1.31513627965193	1.87460366976923	0.899558105335104	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Escherichia_coli	0.0219100697154103	-0.0137570255972715	-0.385726489556745	0.536355705097565	0.474085840343691	0.561161817449186	0.040849886571869	-0.0290180056575793	-0.687371231546189	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Lachnospira_eligens	-0.298258663113397	-0.0687557422630822	-0.402507150968929	0.311616050042642	0.274924056547087	0.36154306869925	-0.957135112496877	-0.250089945298425	-1.11330346455558	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Anthropogastromicrobium_aceti	-0.065950455222532	-0.0198536463493545	0.163383556057727	0.448166324029887	0.411295623177363	0.530018485810171	-0.147156204485667	-0.0482709886285198	0.308260108716743	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_bicirculans	-0.0132525759655679	0.0958423608108558	-0.027746650662203	0.485056196955674	0.425524601298374	0.530847460214244	-0.0273217331285409	0.225233418980756	-0.0522685945431571	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Veillonella_parvula	-0.815156329626729	-0.598659016057418	-1.06350786963995	0.454748387463691	0.429550451652906	0.544001025369873	-1.79254363973267	-1.39368731601558	-1.95497401667002	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_flavefaciens	0.8139713074548	0.84268757962806	1.0382190130729	0.436281597061074	0.406752517587765	0.48379162034175	1.86570167739817	2.07174520916452	2.14600453877127	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__sp._8	0.11290268566923	-0.133749901221021	-0.363655404593434	0.234397829672215	0.209784713306735	0.263069369838649	0.481671207566704	-0.637557899776326	-1.38235555441699	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Prevotella_sp._885	1.08567305219649	0.788661321521744	0.885841291304646	0.486459236212153	0.465950137607528	0.679605465970496	2.23178628624704	1.6925873776349	1.3034640473935	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__sp._9	0.309685950957904	1.14853528486323	1.30046149882443	0.588608929027111	0.513465725517167	0.594987263198563	0.526131928494139	2.23682950542885	2.18569636572276	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Phascolarctobacterium_succinatutens	0.774677676993984	1.69360334654783	1.89329874888898	0.615578500155476	0.546732242043187	0.689509717956293	1.25845473290299	3.09768331975207	2.745862312863	0.209848199038471	0.00226140546307569	0.00664448917893305	1	0.0869025813667657	0.248693737840066	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Oscillibacter_valericigenes	0.0340067669228477	0.38054192454893	0.425629195110236	0.318787039177162	0.285730936951418	0.362321550868422	0.106675500392439	1.3318191183954	1.17472779107419	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
