Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss
s__Blautia_sp._MSK_20_85	-0.485444571424458	-0.485444571776778	-0.485444572147528	0.50670628016948	0.461175791698909	0.563766648675391	0.485444572147528	0.499	0.691912371134021	FALSE	TRUE
s__Bacteroides_fragilis	-0.530208601180503	-0.530208601250367	-0.541015769564622	0.432864010047169	0.358904080930751	0.46073491763735	0.541015769564622	0.278	0.524923611111111	FALSE	TRUE
s__Ruminococcus_sp._AF37_3AC	-0.287578343512553	-0.337250806437313	-0.653588652915575	0.554412516676672	0.510995920663314	0.640949071194531	0.653588652915575	0.365	0.583888235294118	FALSE	TRUE
s__Blautia_sp._MCC270	1.26437627504399e-11	-1.10924713655483e-09	-0.403852980108384	0.361848001011136	0.34108888777276	0.429954078924163	0.403852980108384	0.44	0.65032967032967	FALSE	TRUE
s__Klebsiella_pneumoniae	-0.265550187507416	-0.319471522777006	-0.319471524057998	0.371139086498559	0.359944552441964	0.431011582889067	0.319471524057998	0.598	0.788718446601942	FALSE	TRUE
s__Parabacteroides_merdae	-0.245765227517898	-0.246083466584598	-1.25845377581405	0.514595725500164	0.483014133452289	0.608024047086554	1.25845377581405	0.045	0.192142857142857	FALSE	TRUE
s__Brachyspira_aalborgi	0.517114779871596	1.43017536011138	2.87761038991029	0.536108338376484	0.492067872024167	0.54926372427128	2.87761038991029	0	0	TRUE	FALSE
s__Roseburia_sp._CLA_AA_H209	-0.807909697510364	-0.80790969888388	-1.44531144542167	0.382731663629869	0.35454609622096	0.464866906488189	1.44531144542167	0	0	TRUE	FALSE
s__Desulfovibrio_piger	0.493208143826473	1.64390473493335	2.33617108982926	0.559204637978014	0.502466332898551	0.658190058011915	2.33617108982926	0	0	TRUE	TRUE
s__Bacteroides_stercoris	-0.51993569191171	-0.519935692124365	-0.547453601810128	0.497162166345145	0.474843613846394	0.506342344880511	0.547453601810128	0.341	0.569745341614907	FALSE	TRUE
s__Blautia_sp._OF03_15BH	0.213026168557717	0.213026168691261	0.213026168818242	0.298425867437603	0.286345565268523	0.359034107306819	0.213026168818242	0.732	0.868621145374449	FALSE	TRUE
s__Kineothrix_sp._MSJ_39	-0.236058520942946	-0.236058520852595	-0.539690459819655	0.399901091267047	0.380584088435305	0.43852067496273	0.539690459819655	0.268	0.518647482014388	FALSE	TRUE
s__Ruminococcus_sp._Marseille_P6503	0.34645660109341	0.346456601155303	0.585061420381551	0.513381788005532	0.486898941515102	0.581206844209861	0.585061420381551	0.389	0.604861271676301	FALSE	TRUE
s__Ruminococcus_sp._M6_2020	0.217822083680805	0.285167445249111	0.591134531457974	0.44364880606685	0.402300814831204	0.52385092503359	0.591134531457974	0.317	0.544853503184713	FALSE	TRUE
s__Blautia_sp._MSK20_18	-0.163455557392375	-0.500251349563022	-0.75672321075117	0.406109222404874	0.370410367443928	0.448668550230506	0.75672321075117	0.099	0.282724489795918	FALSE	TRUE
s__Blautia_sp._MCC283	1.82405623994948e-10	0.0828273579514188	0.378974046407883	0.443753011877427	0.415077283450565	0.504771725827403	0.378974046407883	0.565	0.759925	FALSE	TRUE
s__Collinsella_sp._TF05_9AC	-0.131089794113216	-0.216139839228544	-0.335280196739036	0.346082115879319	0.319952991364555	0.392643541887032	0.335280196739036	0.48	0.683174603174603	FALSE	TRUE
s__Mitsuokella_jalaludinii	-8.36656752912292e-10	-9.70588222162975e-10	-0.407466931597607	0.529516152713536	0.522844748623333	0.665407503754889	0.407466931597607	0.708	0.852431111111111	FALSE	TRUE
s__Pseudoflavonifractor_phocaeensis	3.79638373809588e-11	0.0608111802695616	0.0608111805146909	0.331915344620327	0.293286785792182	0.362947702801203	0.0608111805146909	0.986	0.998	FALSE	TRUE
s__sp._16	0.0497661772312182	0.844987734292195	1.36273089109684	0.476379616863077	0.428017999585305	0.533605852223108	1.36273089109684	0.011	0.109592592592593	FALSE	TRUE
s__Faecalibacterium_sp._Marseille_Q4896	-0.584823624283364	-0.584823624552559	-0.584823626830415	0.440375573316951	0.382046737519592	0.46605529192595	0.584823626830415	0.243	0.491481203007519	FALSE	TRUE
s__sp._17	-0.152672015626591	-0.152672015700423	-0.152672016247111	0.321058500697043	0.247159508807969	0.320310700816222	0.152672016247111	0.826	0.903227642276423	FALSE	TRUE
s__Brotomerdimonas_butyrica	0.249945776025153	0.249945776128063	0.249945776632502	0.425324698931207	0.38973379853333	0.479879165330182	0.249945776632502	0.8	0.892946058091286	FALSE	TRUE
s__Clostridium_sp._1001271B_151109_B4	0.969754889187783	0.969754889213989	1.24214307489723	0.527608246225387	0.505272938038938	0.645639198299612	1.24214307489723	0.059	0.214472972972973	FALSE	TRUE
s__Adlercreutzia_equolifaciens	-0.897929993214135	-0.996962781104737	-0.996962781113172	0.532024502028637	0.470013954659305	0.571028593867284	0.996962781113172	0.09	0.269	FALSE	TRUE
s__Methanosphaera_stadtmanae	2.0966560046858e-11	-1.53281553507336e-09	-1.45199590803078	0.419228890024248	0.370918316160746	0.452769730231011	1.45199590803078	0	0	TRUE	FALSE
s__Blautia_sp._MSJ_36	1.82667794001851e-10	2.31966591901084e-10	0.395289191072506	0.391463684794409	0.337434951595364	0.430474938673758	0.395289191072506	0.459	0.663822580645161	FALSE	TRUE
s__Bacteroides_thetaiotaomicron	-0.374294102038853	-0.531383986886626	-0.899438992599246	0.456213589736922	0.393050815256793	0.569953981605361	0.899438992599246	0.12	0.316470588235294	FALSE	TRUE
s__Blautia_sp._Marseille_P3087	0.235811771248378	0.235811771335367	0.235811771481736	0.387846383456106	0.363840617926901	0.442217342387977	0.235811771481736	0.782	0.884987394957983	FALSE	TRUE
s__Megasphaera_elsdenii	5.71091538135597e-11	0.926095470530167	0.926095470660618	0.533913273879688	0.515234575856079	0.609449024479391	0.926095470660618	0.147	0.359481818181818	FALSE	TRUE
s__Ruminococcus_sp._210702_SL_1_03	-3.22210676287299e-11	-5.63071975303849e-11	-0.179032299820388	0.459294863928566	0.400869334874003	0.518353513687792	0.179032299820388	0.908	0.954109375	FALSE	TRUE
s__Parabacteroides_distasonis	-0.235084022784238	-0.495724224014391	-0.495724225597121	0.480998883789559	0.432074819332894	0.544061399367883	0.495724225597121	0.432	0.65032967032967	FALSE	TRUE
s__Clostridium_sp._BIOML_A1	1.2608461991176e-10	0.262384063281355	0.262384063901018	0.506760656914251	0.481053439852036	0.582452177390967	0.262384063901018	0.841	0.915032128514056	FALSE	TRUE
s__Fusicatenibacter_sp._CLA_AA_H277	-0.0127893177280457	-0.201120783825714	-0.384107054356319	0.314731949358275	0.298269244512577	0.364192807562544	0.384107054356319	0.35	0.577365853658537	FALSE	TRUE
s__Faecalibacillus_faecis	-0.514519496332647	-0.761126299710757	-0.882365628342895	0.550512032579858	0.531415591024893	0.665548179086882	0.882365628342895	0.208	0.449768	FALSE	TRUE
s__Anaeromassilibacillus_sp._An200	-0.177189580337928	-0.464933389867837	-0.495387978379637	0.43894703985614	0.410649874818027	0.462009454634526	0.495387978379637	0.327	0.55322641509434	FALSE	TRUE
s__Blautia_hansenii	-5.14818197396766e-11	-0.602138771495896	-0.958289642373666	0.382220471241391	0.363584843695759	0.39831286524206	0.958289642373666	0.017	0.131051282051282	FALSE	TRUE
s__Bifidobacterium_pseudocatenulatum	-8.35928254365381e-11	-1.3078342346698e-10	-0.917747892212375	0.548593198910262	0.495529200861517	0.6065869925339	0.917747892212375	0.127	0.324830188679245	FALSE	TRUE
s__Dorea_sp._AF36_15AT	-5.9119940659622e-10	-1.26790730388425e-09	-0.211046007580062	0.437488497179151	0.367898270337876	0.435722982213437	0.211046007580062	0.8	0.892946058091286	FALSE	TRUE
s__Paraprevotella_clara	0.0197686869924442	0.0197686871631454	0.354890907415056	0.561015482162282	0.496806762380086	0.664284525903477	0.354890907415056	0.769	0.883693617021277	FALSE	TRUE
s__Phocaeicola_massiliensis	-0.542155072598759	-0.542155072673156	-0.979413712542999	0.493590296619666	0.452200280958863	0.589046459153912	0.979413712542999	0.101	0.282724489795918	FALSE	TRUE
s__Blautia_sp._MSJ_19	-2.33039455034343e-10	-0.0193375929704091	-0.0517453268956039	0.331605119289589	0.287785045616246	0.375196900988394	0.0517453268956039	0.991	0.998	FALSE	TRUE
s__Clostridium_saudiense	0.848223841927218	0.848223842221496	0.848223842342776	0.539815071552337	0.486521768405171	0.619670595832541	0.848223842342776	0.186	0.410114754098361	FALSE	TRUE
s__Roseburia_sp._CLA_AA_H204	-0.342145293517849	-0.342145293582267	-0.956354980645295	0.4472931504089	0.414086062720052	0.549679078725965	0.956354980645295	0.08	0.250232558139535	FALSE	TRUE
s__Clostridium_sp._D43t1_170807_D5	0.656064360792475	1.63919758826076	2.22407836792893	0.510563052040869	0.480435459994886	0.6088643605298	2.22407836792893	0	0	TRUE	FALSE
s__Faecalibacterium_sp._CLA_AA_H233	1.39729366727039e-10	0.450700734977393	0.908571423042004	0.407727794795008	0.347649781362644	0.480041794005007	0.908571423042004	0.056	0.212958333333333	FALSE	TRUE
s__Bacteroides_xylanisolvens	-0.0371953464910068	-0.176642977988036	-0.734289936287213	0.437382664853436	0.41263793305069	0.506539850873811	0.734289936287213	0.157	0.380477477477478	FALSE	FALSE
s__Waltera_intestinalis	-0.141400276919061	-0.141400276959037	-0.141400277155427	0.511940975868401	0.428358120508186	0.582582421760813	0.141400277155427	0.973	0.998	FALSE	TRUE
s__Faecalibacterium_sp._I3389	0.141601111553135	0.172934015739117	0.616292333311388	0.33910775073871	0.317060953268008	0.442238515537397	0.616292333311388	0.178	0.408059322033898	FALSE	TRUE
s__Oscillibacter_sp._MCC667	-1.43721858847823e-10	-1.79217532577579e-10	-0.18183318680849	0.354724095279246	0.300346124117559	0.415224054370319	0.18183318680849	0.852	0.916752	FALSE	TRUE
s__Dorea_sp._AM58_8	-5.62640049924035e-10	-0.0025615581772422	-0.187886626216698	0.341583157078824	0.309210631402346	0.352548594512814	0.187886626216698	0.768	0.883693617021277	FALSE	TRUE
s__Eubacterium_sp._AF22_8LB	0.54422919812529	0.544229198148809	0.653156433394418	0.474947125488048	0.40023798651898	0.492553762161917	0.653156433394418	0.215	0.450418604651163	FALSE	FALSE
s__Faecalibacterium_sp._AF27_11BH	-0.430613956812187	-0.430613956835177	-0.430613956944716	0.396268241624038	0.368300406299279	0.482749530658021	0.430613956944716	0.47	0.676096256684492	FALSE	TRUE
s__Porcipelethomonas_ammoniilytica	4.52752148123842e-08	0.158849243091742	0.310582968960787	0.486194885130065	0.450438426899654	0.534442963888632	0.310582968960787	0.711	0.852431111111111	FALSE	TRUE
s__Solobacterium_moorei	0.640612886359856	0.779171613157544	0.779171613472543	0.517600205126224	0.497870963580508	0.622207634593967	0.779171613472543	0.254	0.506118518518519	FALSE	TRUE
s__Succinivibrio_dextrinosolvens	2.25029152289115e-10	1.02626424666117	2.61239067165185	0.448665161604092	0.448924184276794	0.54144480573716	2.61239067165185	0	0	TRUE	FALSE
s__Streptococcus_salivarius	-0.0884019066044691	-1.23819539247626	-1.66198530774616	0.570113808392795	0.514017041223952	0.639139747090254	1.66198530774616	0.004	0.0538	FALSE	TRUE
s__sp._18	-8.08389696175712e-12	-0.00103628574023834	-0.159426317608857	0.260164532201221	0.243250120731831	0.286752771774179	0.159426317608857	0.772	0.883693617021277	FALSE	TRUE
s__Dorea_phocaeensis	-0.560861236964027	-0.723305367682222	-0.972749201629374	0.541004181503738	0.46473266904993	0.553567281673128	0.972749201629374	0.095	0.280824175824176	FALSE	TRUE
s__sp._19	0.301443197545065	0.350611618928337	0.353767634879101	0.261882322497506	0.243653063391847	0.299262344181946	0.353767634879101	0.277	0.524923611111111	FALSE	TRUE
s__sp._20	0.042648271762409	0.165221255418739	0.165221256334583	0.245784317563133	0.227559478569396	0.261257568384921	0.165221256334583	0.687	0.84735	FALSE	TRUE
s__Butyricicoccus_faecihominis	-0.0840873541120994	-0.0840873543479709	-0.261783898494971	0.334387721385179	0.29036273852617	0.340453042708531	0.261783898494971	0.554	0.752656565656566	FALSE	TRUE
s__Prevotella_sp._Marseille_P4119	0.508502660224549	1.13845867622531	1.3606879530077	0.445768206924723	0.42218139426791	0.542951266905079	1.3606879530077	0.019	0.131051282051282	FALSE	FALSE
s__Clostridium_sp._D43t1_170807_H7	0.706014434726377	0.706014434678097	0.706014435586616	0.487271260435372	0.459348145739527	0.611284523397102	0.706014435586616	0.302	0.536230263157895	FALSE	TRUE
s__Clostridium_sp._AF15_31	-3.02928892671732e-11	7.21713600779116e-10	0.588578121428013	0.442176141434957	0.413594711550202	0.570533446225447	0.588578121428013	0.349	0.577365853658537	FALSE	TRUE
s__Butyricicoccus_sp._BIOML_A1	-0.45728703369812	-0.457287034091307	-0.457287034138908	0.410976501100962	0.347512217336944	0.416303623524219	0.457287034138908	0.325	0.55322641509434	FALSE	TRUE
s__Brotolimicola_acetigignens	-0.303952373151806	-0.304113873020938	-0.304113873042959	0.445984506822002	0.386042412385007	0.488030267641989	0.304113873042959	0.693	0.84735	FALSE	TRUE
s__Chuhaivirus_simiae	1.24518745710678	1.24518745722141	1.45460729013421	0.365338934982761	0.333833433428229	0.442262465774473	1.45460729013421	0.002	0.0358666666666667	TRUE	FALSE
s__Waltera_sp._CLA_AA_H273	-0.283156636501885	-0.337102936228204	-0.337102936580865	0.439908581112916	0.363896894093153	0.459684785859235	0.337102936580865	0.581	0.773707920792079	FALSE	TRUE
s__sp._21	-0.146915463979991	-0.146915463991405	-0.388464806331418	0.275906071036902	0.254230146272581	0.307917060083982	0.388464806331418	0.257	0.508330882352941	FALSE	TRUE
s__Prevotella_pectinovora	0.469492444001462	0.667117845271654	1.02613011594282	0.424250840912599	0.415586338581981	0.51732853392228	1.02613011594282	0.052	0.212791044776119	FALSE	FALSE
s__Clostridium_perfringens	4.17499735195706e-10	2.52041083196239e-10	0.394468579323719	0.409565725115506	0.386912910978064	0.496872187550398	0.394468579323719	0.538	0.738377551020408	FALSE	TRUE
s__Yeguia_hominis	0.0333807076296744	0.38204053232879	0.382040532665942	0.345464326408587	0.308319963011413	0.394858554735361	0.382040532665942	0.389	0.604861271676301	FALSE	TRUE
s__Alistipes_shahii	-0.682305338329226	-1.3141789764537	-1.86179969379213	0.50542266545201	0.477979993815046	0.581805346703242	1.86179969379213	0	0	TRUE	TRUE
s__Mediterraneibacter_glycyrrhizinilyticus	-1.92523942499547e-10	-0.27366377136304	-0.855284447803301	0.3218235261881	0.276564838968832	0.31252175182785	0.855284447803301	0.01	0.1076	FALSE	FALSE
s__Faecalibacillus_sp._MSK20_93	-0.676810075067312	-0.676810075308586	-1.1814646334859	0.567586733973801	0.505794693868427	0.621131113134946	1.1814646334859	0.057	0.212958333333333	FALSE	FALSE
s__Phascolarctobacterium_faecium	-0.852329324655372	-1.17593748837896	-1.8123093807387	0.578357044932755	0.540609126066878	0.574303642534464	1.8123093807387	0.003	0.0448333333333333	TRUE	TRUE
s__Alistipes_onderdonkii	-0.190974160906733	-1.01707611600906	-1.85125825490299	0.485432527162599	0.448525184854809	0.566010076534207	1.85125825490299	0.001	0.0192142857142857	TRUE	FALSE
s__sp._22	0.177846766445332	0.265266862979284	0.265266863007882	0.362630258437743	0.352961518293301	0.402116381537044	0.265266863007882	0.713	0.852431111111111	FALSE	TRUE
s__Schaalia_turicensis	0.0800214911789504	1.50417640365789	2.4712996936501	0.389586535718866	0.392199498806331	0.615475868203224	2.4712996936501	0	0	TRUE	FALSE
s__Clostridium_spiroforme	-0.101335712153978	-1.04566125840225	-1.69615146138022	0.558630444450587	0.508976421520535	0.619116824817504	1.69615146138022	0.005	0.064047619047619	FALSE	TRUE
s__Clostridium_sp._AF36_4	-2.24282404391292e-11	-0.247184771710727	-1.24067548830107	0.531469982409585	0.494671608167624	0.603238598421903	1.24067548830107	0.043	0.186564516129032	FALSE	TRUE
s__Dysosmobacter_sp._BX15	0.350252650364652	0.432468090090587	0.43246809024744	0.333450608982203	0.318598425930637	0.421613665884281	0.43246809024744	0.369	0.583888235294118	FALSE	FALSE
s__Clostridium_sp._L2_50	0.261665982917303	0.268278275285312	0.497770547403501	0.530123550269866	0.483544701014679	0.645219427328996	0.497770547403501	0.569	0.761497512437811	FALSE	TRUE
s__sp._23	-0.429585526052389	-0.429585526361847	-0.914985202496075	0.429485156139575	0.400266254754647	0.529125657251496	0.914985202496075	0.089	0.269	FALSE	FALSE
s__Clostridium_sp._AF37_5	-1.02748498878144e-09	-2.11465493190979e-09	-0.74585518769252	0.55324232327254	0.48166353506371	0.585860238498459	0.74585518769252	0.247	0.49584328358209	FALSE	TRUE
s__Negativibacillus_massiliensis	3.60885002018112e-11	7.2777243723561e-10	0.587538520186543	0.473505429094638	0.446919354152883	0.531990417059249	0.587538520186543	0.316	0.544853503184713	FALSE	FALSE
s__Intestinimonas_butyriciproducens	4.14456605045414e-10	0.128615803896821	0.128615812780211	0.287116730620458	0.247867815850728	0.316176095860846	0.128615812780211	0.861	0.919083333333333	FALSE	TRUE
s__Anaerotignum_faecicola	5.60595622607585e-11	0.0288303239398399	0.447726211555288	0.393211570530778	0.367971907775697	0.471063966246092	0.447726211555288	0.435	0.65032967032967	FALSE	TRUE
s__Clostridium_sp._AF15_41	-0.16638422700302	-0.248830273892067	-0.406773240286626	0.502460313129185	0.48347543883501	0.627274962502809	0.406773240286626	0.679	0.846668202764977	FALSE	TRUE
s__Clostridium_sp._1001270H_150608_G6	0.357685019226191	1.21731326358047	1.21731326366938	0.470496370169323	0.448175276603006	0.610481054776354	1.21731326366938	0.053	0.212791044776119	FALSE	TRUE
