Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes
s__sp.	-0.107611968439824	-0.0184076916408456	-0.00172478226015133	-0.0217446683385229	-0.000822868578598356	0.100591329613687	0.0659380303586486	0.05747649109018	0.0431425691176971	0.263354748219779	0.219111319615363	0.203344017570526	0.252618487937467	0.00445601463117105	0.216062599977823	0.20943532906403	0.186987633457191	0.147695862644778	-0.408619814783129	-0.0840106831228949	-0.00848209001060542	-0.0860771059001252	-0.184664694061407	0.465565672282071	0.314837189376438	0.30738124242499	0.292104114124435	0.683209055556933	0.933122969364706	0.993239901789444	0.931482013247286	0.85365911982729	0.641978749507469	0.753178347249353	0.758838791760964	0.770477380514863	0.996136557408079	0.989663083780718	0.996946020825972	0.963730777331562	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.944438279080433	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Blautia_obeum	-0.114829299517134	-0.0103214302789039	-0.311093449005196	-0.612689347998254	0.0019572234477765	-0.127209365474338	-0.0690301936363993	0.115221906330712	0.377222646223107	0.350999381401188	0.291046634947978	0.269168130707878	0.343030792075188	0.00590097276656056	0.268089478062452	0.298804089572735	0.257095110050439	0.204152579092817	-0.327149578038389	-0.035463149336012	-1.15575884926295	-1.78610597693504	0.331678102103373	-0.474503387427628	-0.231021582519526	0.448168408602196	1.84774861968119	0.743860269170465	0.971742012341038	0.249011071022513	0.0754346900182378	0.740442451878071	0.635603231982188	0.8175089091611	0.654464832800991	0.0659571600479803	0.996136557408079	0.990146217120224	0.603459262207713	0.261693862095096	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.465292937061215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Extibacter_muris	0.816298731897338	-0.975058110968849	-0.290260620704966	-1.05767452195577	-0.00987781250157829	-0.184581776273432	0.338881720042223	-0.0985672825422943	0.0320410210031831	0.579549756005467	0.499093421695793	0.434238721068936	0.591165037869411	0.009776929813629	0.498085184966107	0.529881165024229	0.44693829255705	0.359835450846682	1.40850500485697	-1.9536585107771	-0.6684356014831	-1.78913578138464	-1.01031844248372	-0.370582747378829	0.639542868119737	-0.220538907011895	0.0890435362268824	0.160368069569255	0.051986525343309	0.504543789427511	0.0749440259129211	0.313432835391766	0.711298530126152	0.523123349907156	0.825652351056653	0.929126871109154	0.852069503650295	0.752438526044441	0.784197547599389	0.261693862095096	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.986106405622868	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Gemmiger_formicilis	0.054008269366167	0.233532507947819	-0.136808076811668	-0.315093672873484	0.00401954121237673	-0.309214213677438	-0.19621670073717	-0.587692167028398	0.057849439577351	0.34030721332112	0.273673703268268	0.26573080825791	0.344060346971911	0.00615457022943257	0.261014905923776	0.278528225466159	0.260151170989848	0.203050536959615	0.158704450719956	0.853324616720296	-0.514837092878165	-0.915809321378172	0.653098601938826	-1.18466113106865	-0.704476899634756	-2.2590410213888	0.284901682327768	0.874044721870292	0.394390865314429	0.607174496402942	0.36075176652653	0.514362477727114	0.23740686493319	0.481867603696963	0.0248433514128012	0.775982697359574	0.996136557408079	0.944457888567069	0.848027882741972	0.623736142392409	0.994214556961177	0.765167013610366	0.994297915675621	0.444393810283193	0.944438279080433	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
s__Holdemanella_porci	-0.0245550245914342	-0.425052655650036	-0.121075349042218	0.226042006285043	-0.000753221620872879	0.32774055891461	0.282151047390478	0.282483009804185	-0.310449327720415	0.623364307201537	0.508799368170199	0.412791782498473	0.518501812853871	0.0105824386152213	0.50010567719143	0.568575302042891	0.442967299037715	0.342471695824724	-0.0393911302070996	-0.835403269423579	-0.293308525449307	0.435952200515736	-0.0711765641417924	0.655342608296682	0.496242180018564	0.637706237949935	-0.906496307593553	0.968615796950506	0.404435640762278	0.769574612465849	0.663317098094923	0.943324650204983	0.512961048578534	0.620240097381285	0.524356335993396	0.365707245036438	0.996136557408079	0.944457888567069	0.919812566719323	0.843754217338011	0.994214556961177	0.931309060203695	0.994297915675621	0.939614625435348	0.700203739767542	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Bifidobacterium_adolescentis	-1.60592683116679	-0.472492260840097	0.502841431698148	-2.04918457760261	0.0383331812111751	0.794273048622441	0.728727300236958	0.134013115253232	-0.614108081975114	0.929176748486855	0.677179884709656	0.652703571180877	0.891779830529846	0.0173015696399768	0.688481417796378	0.816406854632602	0.693222860834351	0.515514796157574	-1.72833299346116	-0.697735227387446	0.770397855780693	-2.29785930052388	2.2155897995869	1.15365938439511	0.892603113388727	0.193318949539454	-1.19125209703468	0.0858106928544277	0.486330827865583	0.442172295441061	0.0228330698098632	0.0280967856212356	0.250318356160504	0.373377607433928	0.846948401111981	0.235275817396759	0.734673189369475	0.982559410567527	0.757607308749334	0.179006777135791	0.994214556961177	0.773972848358339	0.994297915675621	0.954254343794924	0.63928479676493	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Blautia_massiliensis	0.219510205558116	-0.0316043694543282	-0.400563453218153	-1.07078817933017	-0.00552115881255202	0.0663525180202949	-0.0461341085984215	-0.198299416410882	0.584697926930528	0.427325098020504	0.353166055583366	0.32484741178934	0.418910608147943	0.00769753698294717	0.335496351769232	0.338855921797918	0.325623879137059	0.241718136845544	0.513684327400735	-0.0894886950619406	-1.23308186761209	-2.5561257187166	-0.717263044631469	0.197774186426727	-0.136146679549352	-0.608983029550533	2.41892451497814	0.607981302836422	0.928773857313017	0.218843472040452	0.0112493118827906	0.473962427430193	0.843401905345294	0.891828150774592	0.543155565107982	0.0163685782963784	0.996136557408079	0.989663083780718	0.558567103290928	0.117267087727798	0.994214556961177	0.965426010799507	0.994297915675621	0.93967236676862	0.31766290760296	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Coprococcus_comes	0.117246277552538	-0.217614768042497	-0.415362847917649	-0.674734401904129	0.000181187979723007	-0.189977870508946	-0.0544253268172207	-0.11044421590826	0.406014200301412	0.316216325892285	0.262471697768543	0.234110035807881	0.298454098073533	0.00558833692147601	0.252232569663975	0.27104827317312	0.221771461142803	0.181761910520191	0.370778697847741	-0.829098031873888	-1.77422059880641	-2.26076440651818	0.0324225225266394	-0.75318532718449	-0.200795696574901	-0.498009145717547	2.23376943573835	0.711152769336963	0.407931546433744	0.0773850284144776	0.0247346111298346	0.974163972623505	0.452129430598919	0.841040527437145	0.618966172503109	0.0264864305962659	0.996136557408079	0.944457888567069	0.365203028833236	0.179006777135791	0.994214556961177	0.887757787088388	0.994297915675621	0.954254343794924	0.345160200675413	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
s__Anaerobutyricum_hallii	-0.00556397863781573	-0.00438144489540291	-0.247009209562262	-0.636705893114003	0.000698373492048612	-0.115113020334008	0.0419250920239134	-0.109376775163696	0.296086502453962	0.341858626514179	0.283789782055437	0.24841550223012	0.33205034196698	0.00606103787166294	0.270678906528399	0.283972434677238	0.264843406117155	0.198291140401269	-0.0162756713046847	-0.0154390509188489	-0.994338949641898	-1.91749807978611	0.115223416655043	-0.425275178662402	0.147637893345406	-0.412986589952374	1.49319077924909	0.98702895366432	0.987695651342709	0.321130778228557	0.0564466320809905	0.908371260376736	0.671044352715125	0.882761353058358	0.680011481904806	0.13679443233382	0.996136557408079	0.995832068221993	0.651689010624126	0.235284258554703	0.994214556961177	0.93462195854302	0.994297915675621	0.954254343794924	0.557540943906026	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Anaerostipes_hadrus	0.0416841870816123	-0.282354053438292	-0.462259238739627	-0.846362327492844	-0.00661864492795364	0.306572865695961	-0.0979595724964656	0.629318837222392	0.567472935446604	0.431691550892428	0.344489785603623	0.326594154240025	0.389158278614419	0.00739272879134993	0.320258068039987	0.374995227457581	0.316092707513832	0.241435332097477	0.0965601179718235	-0.819629682034099	-1.41539348680411	-2.17485371378011	-0.89529118607705	0.95726820427107	-0.261228851259305	1.99093121183397	2.35041379617749	0.923162065388545	0.413298486560831	0.158341946288776	0.0306881506231552	0.371592489283427	0.339463916841784	0.794156050338427	0.0477036217689669	0.0196212974797446	0.996136557408079	0.944457888567069	0.507071232758103	0.179006777135791	0.994214556961177	0.830143578458545	0.994297915675621	0.444393810283193	0.341075562206323	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
