lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
deacetylase activity	-0.374528833816606	-0.592987025187543	1	0.0501176470588235
peptidoglycan glycosyltransferase activity	0.140738634552597	0.809568343785663	0.571696895910325	0.0501176470588235
proline dehydrogenase activity	-0.515504372743144	-0.297838223442834	0.00385487367154756	1
cellular response to oxidative stress	-0.529929379440085	-0.642728245281375	0.0231796722139163	0.26913357400722
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	-0.532197220862751	-0.63803704719263	0.0223529970850403	0.307147335423197
exodeoxyribonuclease V activity	0.00878678961139174	0.742167741890115	0.994960473267077	0.126222222222222
lactate fermentation to propionate and acetate	-0.395702584701724	-0.619001144997551	0.00499906933603095	0.203366834170854
ion transmembrane transporter activity	0.180147923237924	0.589973245662811	0.500220943626137	0
triphosphatase activity	0.480870126164315	0.679999935920469	0.000781979607027273	0
pyridoxamine-phosphate oxidase activity	-0.55535811643046	-0.272669224886336	0.0009178909905137	0.830541044776119
oxidoreductase activity, oxidizing metal ions	-0.433645330117875	-0.769327473843517	0.028554228947592	0.0614423076923077
daunorubicin transport	0.278214435716219	0.168718363560232	0.0643540265795337	1
doxorubicin transport	0.278214435716219	0.168718363560232	0.0643540265795337	1
creatine biosynthetic process	-0.291180305300679	-0.73211662842964	0.261110880647293	0.0308695652173913
creatinine catabolic process	-0.291180305300679	-0.73211662842964	0.261110880647293	0
creatininase activity	-0.291180305300679	-0.73211662842964	0.261110880647293	0.0308695652173913
urea transmembrane transporter activity	-0.908431164934599	-0.478578595062036	1.34841034420988e-06	0.49631067961165
urea transmembrane transport	-0.908431164934599	-0.478578595062036	1.34841034420988e-06	0.488571428571429
TBP-class protein binding	0.359740912765502	0.502083633399808	0.0647694582877723	0.432249388753056
phosphoadenylyl-sulfate reductase (thioredoxin) activity	-0.315738954716828	-0.138690683332263	0.0582301595592583	0.999469234382339
3'(2'),5'-bisphosphate nucleotidase activity	-0.351827434885301	-0.0829444011009361	0.0343371224012109	0.999469234382339
thioredoxin peroxidase activity	-0.520214095461492	-0.517218766318296	0.00499906933603095	0.240627615062761
killing of cells of other organism	-1.15964651075365	-1.09545961989336	1	0.0501176470588235
defense response to Gram-negative bacterium	-1.15964651075365	-1.09545961989336	1	0.0501176470588235
oxidoreductase activity, acting on peroxide as acceptor	-0.564609076049235	-0.690861044332085	0.00131251645885348	1
toxin transport	-0.45753786540462	-0.457499748688749	0.0127535690530275	1
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	-0.486870420962483	-0.516382640658156	0.00499032218521393	0.343746397694524
protein-malonyllysine demalonylase activity	-0.432890025677675	-0.321242340325908	0.00948600048877997	0.689959677419355
protein-succinyllysine desuccinylase activity	-0.432890025677675	-0.321242340325908	0.00948600048877997	0.674160982264666
carboxyl-O-methyltransferase activity	-0.359826859615313	-0.373904939388663	0.0398445869878637	0.625907046476762
3-oxo-5-alpha-steroid 4-dehydrogenase activity	-0.452838931185199	-0.380066888746686	0.00131251645885348	1
steroid metabolic process	-0.452838931185199	-0.380066888746686	0.00131251645885348	1
NAD(P)+ transhydrogenase activity	0.114515206606819	-0.752414722228401	0.485594471991724	0.0614423076923077
diacylglycerol kinase activity	0.390448626983225	0.475937340985294	0.0861873133420758	0.486481481481481
rhamnulose-1-phosphate aldolase activity	0.285489002308773	0.403979535097615	0.0572059833187379	0.49505859375
fructose 2,6-bisphosphate metabolic process	0.201570007951774	0.67135601297382	0.402132371278038	0.132206896551724
tocopherol cyclase activity	-0.345883477059506	-0.656448640366652	1	0.08875
intracellular membrane-bounded organelle	-0.520181416970708	-0.482716347121846	0.0037736208019943	0.442725173210162
cysteine biosynthetic process	-0.266007108033812	-0.256331864432161	0.0710627475242794	0.824191106906339
protein secretion by the type VI secretion system	-0.608760456755831	0.167289210846698	1.66892920251196e-06	0.999469234382339
hydrogen peroxide catabolic process	0.0612662266613981	0.665918444478147	1	0.132206896551724
transcription by RNA polymerase III	0.0210722811433672	-0.808101160546685	0.968205041435293	0.132206896551724
histidine decarboxylase activity	-0.51533509596624	0.176474291305598	0.00177225138331682	0.948995080815179
response to organic substance	0.326019835753001	0.773021177145234	1	0.126222222222222
phosphate acetyltransferase activity	0.18036398602434	0.274301966207751	0.0554883462040741	0.81459512195122
phospholipid metabolic process	0.216969084231464	1.04294477683318	0.169937091092814	0
N-acylphosphatidylethanolamine-specific phospholipase D activity	-0.425311892494448	-0.496917584160939	1.80427918671568e-05	1
[acyl-carrier-protein] phosphodiesterase activity	-0.347362685247744	-0.716670529422471	0.00272501178772361	1
histidine metabolic process	-0.526463022025863	0.165146583638909	0.000617890018558217	0.981676528599606
lipopolysaccharide heptosyltransferase activity	0.343363896597479	0.675912098191874	1	0.132206896551724
lipopolysaccharide core region biosynthetic process	0.343363896597479	0.675912098191874	1	0.08875
dihydrolipoyllysine-residue succinyltransferase activity	-0.126056941377153	-0.989459216329044	0.453949363269872	0.0501176470588235
glutathione synthase activity	-0.125583490768904	-0.761521630407884	0.449735775769875	0.0614423076923077
RNA polymerase II regulatory region sequence-specific DNA binding	-0.380925910606708	-0.425798556756027	0.0128850558822009	0.452986425339367
purine-rich negative regulatory element binding	-0.380925910606708	-0.425798556756027	0.0128850558822009	0.439123222748815
chitosanase activity	-0.239474821239455	-0.892000172253284	0.0339318320215231	0.0501176470588235
host cell cytoplasm	-0.000343777195503269	0.994773799678997	0.999943562532212	0.0308695652173913
virus tail	-0.0307387054646853	0.934217341957661	0.958734952887226	0
actin filament binding	-0.480689558766436	-1.09033537952676	1	0
diphosphomevalonate decarboxylase activity	0.422297986155855	0.868807802559994	1	0.0501176470588235
isopentenyl diphosphate biosynthetic process, mevalonate pathway	0.422297986155855	0.868807802559994	1	0.0501176470588235
GDP-D-glucose phosphorylase activity	-0.58203905195628	-0.460184603324355	2.63288002340334e-07	0.439123222748815
toxin activity	-0.467755175814847	-0.869252872685366	1	0.08875
calcium-dependent cysteine-type endopeptidase activity	0.282598252288627	0.852913885466692	1	0.0614423076923077
glycerol-3-phosphate transmembrane transport	-0.115370900079498	0.876542711518496	0.204323136624256	0.0501176470588235
photosystem II oxygen evolving complex	-0.426498936164562	-0.828702389117257	1	0.08875
arsenate reductase (glutaredoxin) activity	-0.115559264071175	-0.759255940725758	0.516216174902604	0.101428571428571
rRNA (adenine-N6-)-methyltransferase activity	-0.233304535866175	0.239610503276452	0.0193527357088368	0.864635593220339
vesicle-mediated transport	0.524901774008117	0.691023360976572	1	0.101428571428571
nickel-transporting ATPase activity	-0.0486323387790768	0.86542797699544	0.838895207789137	0.0614423076923077
mismatch base pair DNA N-glycosylase activity	0.0213921662491519	0.736788747685996	0.939784666931655	0.0614423076923077
base-excision repair, AP site formation	0.0213921662491519	0.736788747685996	0.939784666931655	0.0501176470588235
posttranscriptional regulation of gene expression	0.0184863012470117	0.797494598225963	0.968205041435293	0.0614423076923077
RNA strand annealing activity	0.0184863012470117	0.797494598225963	0.968205041435293	0.0614423076923077
RNA strand-exchange activity	0.0184863012470117	0.797494598225963	0.968205041435293	0.0501176470588235
proline catabolic process	-0.273153127603753	-0.942880580285445	0.0193527357088368	1
cytolysis by virus of host cell	-0.636895363407792	-0.861448409533004	1	0.08875
mediator complex	0.51277152474767	0.842260231824841	1	0.0614423076923077
gamma-glutamylaminecyclotransferase activity	-0.231068647475581	0.931614832011208	1	0.0501176470588235
response to nickel cation	-0.221619101632552	0.891886539857924	1	0.0614423076923077
zymogen activation	-0.0223432675510402	0.957460062813638	0.936896228067717	0.0501176470588235
electron transport coupled proton transport	-0.155502521846567	0.850943713730537	0.141139019617671	0.0774545454545455
