Feature	study_condition	lfc	p_val	q_val	p_sig
p-Cresol glucuronide	G4	0.74	0.01	0.17	
Phenylacetylglutamine	G2	0.09	0	0.15	
Phenylacetylglutamine	G3	0.09	0	0.15	
Phenylacetylglutamine	G4	0.54	0	0.15	
N-Phenylacetylglutamic acid	G2	0.11	0	0.08	+
N-Phenylacetylglutamic acid	G3	0.11	0	0.08	+
N-Phenylacetylglutamic acid	G4	0.7	0	0.08	+
2-Indolecarboxylic acid	G2	0.14	0	0	***
2-Indolecarboxylic acid	G3	0.34	0	0	***
2-Indolecarboxylic acid	G4	0.64	0	0	***
3,17-Androstanediol glucuronide	G2	0.19	0.01	0.16	
3,17-Androstanediol glucuronide	G3	0.34	0.01	0.16	
3,17-Androstanediol glucuronide	G4	0.49	0.01	0.16	
5-Hydroxy-6-methoxyindole glucuronide	G2	0.22	0	0	***
5-Hydroxy-6-methoxyindole glucuronide	G3	0.89	0	0	***
5-Hydroxy-6-methoxyindole glucuronide	G4	2.03	0	0	***
6-Hydroxy-5-methoxyindole glucuronide	G2	0.27	0	0	***
6-Hydroxy-5-methoxyindole glucuronide	G3	0.91	0	0	***
6-Hydroxy-5-methoxyindole glucuronide	G4	1.89	0	0	***
Stercobilin	G2	0.28	0	0.14	
Stercobilin	G3	0.53	0	0.14	
Stercobilin	G4	1.04	0	0.14	
Hippuric acid sulfate	G2	0.3	0	0	***
Hippuric acid sulfate	G3	0.83	0	0	***
Hippuric acid sulfate	G4	2.02	0	0	***
3-Methyloxindole	G2	0.35	0	0.05	+
3-Methyloxindole	G3	0.54	0	0.05	+
3-Methyloxindole	G4	0.98	0	0.05	+
1-Hydroxyacorenone	G2	0.51	0	0.1	
1-Hydroxyacorenone	G3	0.71	0	0.1	
1-Hydroxyacorenone	G4	0.98	0	0.1	
Shinanolone	G2	0.53	0	0.1	
Shinanolone	G3	0.71	0	0.1	
Shinanolone	G4	1.05	0	0.1	
HPAA sulfate	G2	0.61	0	0	***
HPAA sulfate	G3	1.46	0	0	***
HPAA sulfate	G4	2.6	0	0	***
3,4-Dihydroxyphenylvaleric acid	G2	0.64	0.01	0.2	
3,4-Dihydroxyphenylvaleric acid	G3	0.77	0.01	0.2	
3,4-Dihydroxyphenylvaleric acid	G4	1.14	0.01	0.2	
6-Hydroxyindoxyl sulfate	G2	0.66	0	0	***
6-Hydroxyindoxyl sulfate	G3	1.35	0	0	***
6-Hydroxyindoxyl sulfate	G4	2.48	0	0	***
3-Methylcatechol 1-sulfate	G2	0.9	0	0	***
3-Methylcatechol 1-sulfate	G3	0.99	0	0	***
3-Methylcatechol 1-sulfate	G4	2.1	0	0	***
