"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Prevotella_sp._P5_64","GO:0008033",-0.0602309083321742,-0.57758031442242,78,56,0.000938721265838142,0.0933158992068922,0.517349406090245,40,2,"tRNA processing","BP"
"s__Roseburia_inulinivorans","GO:0016868",-0.0630013659735616,-0.534808245671966,148,86,0.000114917411976524,0.0701594561540619,0.471806879698404,15,2,"intramolecular transferase activity, phosphotransferases","MF"
"s__Senegalimassilia_anaerobia","GO:0016868",-0.0555582348685797,0.386300566738323,144,85,0.000912121062286726,0.0933158992068922,0.441858801606903,7,2,"intramolecular transferase activity, phosphotransferases","MF"
"s__Catenibacterium_mitsuokai","GO:0006807",-0.187214143035824,0.362348348096218,137,83,6.1511711760328e-05,0.0701594561540619,0.549562491132042,12,2,"nitrogen compound metabolic process","BP"
"s__Simiaoa_sunii","GO:0006807",-0.0523864151234419,-0.485851084619894,146,85,0.000598120399670502,0.0883295188010076,0.433464669496453,20,2,"nitrogen compound metabolic process","BP"
"s__Blautia_faecis","GO:0006814",0.277170324687103,-0.163168073965753,149,86,0.001136866377738,0.0949568926561188,0.440338398652856,17,1,"sodium ion transport","BP"
"s__Prevotella_sp._Marseille_P4119","GO:0030246",0.167944892944893,0.60484024888346,111,68,0.000779819535126839,0.089390299395526,0.436895355938567,31,1,"carbohydrate binding","MF"
"s__Dorea_sp._OM07_5","GO:0006164",-0.0887300016801389,0.405860290670417,137,80,0.000302296980194333,0.0804737967828592,0.494590292350556,8,2,"purine nucleotide biosynthetic process","BP"
"s__Dorea_sp._AM10_31","GO:0006164",-0.0632423253943429,0.372933359390268,139,85,0.00120416391228738,0.0965169870795952,0.436175684784611,4,2,"purine nucleotide biosynthetic process","BP"
"s__Alistipes_onderdonkii","GO:0016743",-0.112685133108361,-0.547250167672703,127,71,0.000970178024451615,0.0935868372687445,0.434565034564341,2,1,"carboxyl- or carbamoyltransferase activity","MF"
"s__Prevotella_hominis","GO:0016829",-0.108723135271808,0.406457006881471,112,72,0.00048001044865895,0.0839861394377018,0.515180142153279,9,1,"lyase activity","MF"
"s__Blautia_faecis","GO:0006812",0.0742499546526392,0.56877211189207,149,86,3.57287756396184e-05,0.0661012123312639,0.494522157239431,17,3,"cation transport","BP"
"s__Blautia_glucerasea","GO:0006812",0.0389914746961727,0.536185669135337,149,86,5.12065915025062e-05,0.0701594561540619,0.497194194439164,4,3,"cation transport","BP"
"s__Blautia_sp._BIOML_A1","GO:0006812",-0.050720600001928,0.388348507005047,146,86,0.000899419762430437,0.0933158992068922,0.439069107006975,2,3,"cation transport","BP"
"s__Holdemanella_biformis","GO:0006633",-0.0163694717865379,0.411379973676217,148,84,0.00114588436707158,0.0949568926561188,0.427749445462755,3,2,"fatty acid biosynthetic process","BP"
