"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Haemophilus_parainfluenzae","GO:0015036",0.676574407524918,0.299222510181414,133,74,0.00050080352042597,0.0873392389604705,0.377351897343504,85,1,"disulfide oxidoreductase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0008252",0.396666791121399,-0.110762655066453,137,78,0.00024596662587575,0.0707311884060425,0.507429446187852,85,1,"nucleotidase activity","MF"
"s__Veillonella_sp._S13053_19","GO:0004729",-0.11210189869197,0.428397673188789,108,61,0.000535834434230538,0.0893600323900753,0.540499571880759,3,1,"oxygen-dependent protoporphyrinogen oxidase activity","MF"
"s__Rothia_sp._HMSC065C12","GO:0046944",0.0388744909292855,-0.648780487804878,74,41,6.37231375461542e-05,0.0507115617580138,0.687654978734163,4,1,"protein carbamoylation","BP"
"s__Neisseria_sp._HMSC071A01","GO:0050304",0.61704118666144,0.0396574440052701,78,45,0.00044362915291848,0.0849681282400046,0.57738374265617,2,1,"nitrous-oxide reductase activity","MF"
"s__Veillonella_dispar","GO:0004719",0.0463163747567417,-0.480856689582232,109,61,0.000526599332141901,0.0893600323900753,0.527173064338973,5,1,"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity","MF"
"s__Candidatus_Nanosynbacter_sp._TM7_075","GO:0004851",-0.139625949736996,0.623973727422003,59,28,0.00035381537557901,0.077171064695733,0.763599677158999,4,1,"uroporphyrin-III C-methyltransferase activity","MF"
"s__Candidatus_Nanosynbacter_sp._TM7_075","GO:0051266",-0.139625949736996,0.623973727422003,59,28,0.00035381537557901,0.077171064695733,0.763599677158999,4,1,"sirohydrochlorin ferrochelatase activity","MF"
"s__Streptococcus_sp._HMSC074B11","GO:0008667",0.0405652418447694,0.544150749244324,127,72,0.000165193035376875,0.0593240113009411,0.503585507399555,2,3,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity","MF"
"s__Streptococcus_sp._SK140","GO:0008667",0.0587296587926509,0.635346324522477,126,72,4.88876781276211e-06,0.0323918001290198,0.576616665729826,2,3,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity","MF"
"s__Streptococcus_sp._HMSC056C01","GO:0008667",-0.00141779152605924,0.561129333076082,127,72,2.58113631742049e-05,0.0330441560288897,0.562547124602141,2,3,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity","MF"
"s__Leptotrichia_wadei","GO:0006488",0.0356785987186269,-0.497726070861978,107,61,0.000423693762631938,0.0837292808100498,0.533404669580605,1,1,"dolichol-linked oligosaccharide biosynthetic process","BP"
"s__Haemophilus_parainfluenzae","GO:0019563",-0.539344595412214,-0.0799659201557936,138,79,0.000275308780114632,0.0707311884060425,0.45937867525642,85,1,"glycerol catabolic process","BP"
"s__Haemophilus_parainfluenzae","GO:0047324",-0.539344595412214,-0.0799659201557936,138,79,0.000275308780114632,0.0707311884060425,0.45937867525642,85,1,"phosphoenolpyruvate-glycerone phosphotransferase activity","MF"
"s__Neisseria_sp._HMSC071A01","GO:0048039",0.673351335133513,0.14978354978355,100,55,0.000112072100314227,0.0587102689707388,0.523567785349964,2,2,"ubiquinone binding","MF"
"s__Neisseria_meningitidis","GO:0048039",0.643478451873655,0.124124967591392,103,57,0.000160872677727693,0.0593240113009411,0.519353484282262,4,2,"ubiquinone binding","MF"
"s__Haemophilus_parainfluenzae","GO:0008310",0.547654199475066,-0.0067842605156038,127,66,6.21203848843557e-05,0.0507115617580138,0.554438459990669,85,1,"single-stranded DNA 3'-5' exodeoxyribonuclease activity","MF"
"s__Streptococcus_intermedius","GO:0008693",0.101876425461331,-0.467591392273788,105,57,0.000327834117033417,0.0731293604246134,0.569467817735119,1,1,"3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0015914",0.637240203259476,0.199159663865546,128,69,0.00029605864957694,0.0707311884060425,0.43808053939393,85,1,"phospholipid transport","BP"
"s__Rothia_sp._HMSC065C12","GO:0015496",-0.071060382916053,-0.613500876680304,97,59,0.00015559960132548,0.0593240113009411,0.542440493764251,4,1,"putrescine:ornithine antiporter activity","MF"
"s__Rothia_sp._HMSC065C12","GO:0015822",-0.071060382916053,-0.613500876680304,97,59,0.00015559960132548,0.0593240113009411,0.542440493764251,4,1,"ornithine transport","BP"
"s__Rothia_sp._HMSC065C12","GO:0015847",-0.071060382916053,-0.613500876680304,97,59,0.00015559960132548,0.0593240113009411,0.542440493764251,4,1,"putrescine transport","BP"
"s__Streptococcus_australis","GO:0001000",-0.301244048709028,0.236865180854951,128,69,0.00030522110013192,0.0707311884060425,0.538109229563978,1,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Lancefieldella_parvula","GO:0001000",0.422767523738398,-0.126891793205913,104,62,0.000444060012073794,0.0849681282400046,0.54965931694431,1,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Prevotella_salivae","GO:0001000",0.344363216621778,-0.249527838634132,114,62,0.000151601171996258,0.0593240113009411,0.593891055255909,1,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Streptococcus_sp._XMC","GO:0001000",-0.446743157105362,0.169904950948582,126,68,2.30405224137888e-05,0.0330441560288897,0.616648108053944,2,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Prevotella_vespertina","GO:0001000",0.23995199519952,-0.443220119263676,100,57,2.48927621384273e-05,0.0330441560288897,0.683172114463196,2,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Streptococcus_sp._343_SSPC","GO:0001000",-0.362121164437451,0.251936123577915,124,66,4.56437646514019e-05,0.0419993953175166,0.614057288015365,1,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Streptococcus_sp._A12","GO:0001000",-0.431762778759464,0.134607710112539,123,67,0.000121976257191403,0.0593240113009411,0.566370488872003,1,7,"bacterial-type RNA polymerase core enzyme binding","MF"
"s__Leptotrichia_sp._oral_taxon_417","GO:0010126",0.165658602150538,-0.554006968641115,63,42,0.000140121585429428,0.0593240113009411,0.719665570791653,1,1,"mycothiol metabolic process","BP"
"s__Haemophilus_parainfluenzae","GO:0033890",0.466311237983292,-0.201150673035172,83,48,0.000157055146445161,0.0593240113009411,0.667461911018464,85,1,"ribonuclease D activity","MF"
"s__Candidatus_Nanosynbacter_sp._TM7_057","GO:0110001",-0.190518170241943,0.477244897959184,82,49,0.000140442950531785,0.0593240113009411,0.667763068201127,1,1,"toxin-antitoxin complex","CC"
"s__Candidatus_Nanosynbacter_sp._HMT_352","GO:0070628",0.582578986298475,0.0511961722488038,88,56,0.000468681797621122,0.0851872563639132,0.531382814049671,5,1,"proteasome binding","MF"
"s__Candidatus_Nanosynbacter_sp._HMT_352","GO:0031386",0.582578986298475,0.0510594668489405,88,56,0.000467319907362375,0.0851872563639132,0.531519519449534,5,1,"protein tag","MF"
"s__Candidatus_Nanosynbacter_sp._HMT_352","GO:0070490",0.582578986298475,0.0510594668489405,88,56,0.000467319907362375,0.0851872563639132,0.531519519449534,5,1,"protein pupylation","BP"
