taxa	name	median_disco
s__Streptococcus_salivarius	Real data	176.235597699129
s__Streptococcus_thermophilus	Real data	94.316605583017
s__Subdoligranulum_sp._APC924_74	Real data	514.423756858185
s__Suilimivivens_aceti	Real data	431.767411236278
s__Terrisporobacter_glycolicus	Real data	608.512292885236
s__Terrisporobacter_mayombei	Real data	760.215387358619
s__Turicibacter_sanguinis	Real data	2704.9855051943
s__Veillonella_parvula	Real data	765.122876663386
s__Vescimonas_coprocola	Real data	654.958855167292
s__Vescimonas_fastidiosa	Real data	1336.82265639929
s__Waltera_intestinalis	Real data	638.079666293406
s__Waltera_sp._CLA_AA_H273	Real data	491.304438563291
s__Yeguia_hominis	Real data	1389.15036218919
