taxa,median_t
s__Bifidobacterium_catenulatum,4.30716714563721
s__Bifidobacterium_adolescentis,4.29159869954855
s__Senegalimassilia_anaerobia,4.27219116172081
s__Butyricicoccus_faecihominis,4.25792969281248
s__Dorea_sp._AM10_31,4.20605223992823
s__Klebsiella_pneumoniae,4.19873691587729
s__Clostridium_sp._1001270H_150608_G6,4.18767763569998
s__Subdoligranulum_sp._APC924_74,4.13843345264628
s__Intestinibacter_bartlettii,4.13211918889176
s__Mediterraneibacter_sp._NSJ_151,4.12859586023942
s__Romboutsia_timonensis,4.05358223821167
s__Collinsella_sp._AM34_10,4.0518610715331
s__Roseburia_sp._CLA_AA_H209,4.03853784147912
s__Collinsella_tanakaei,4.03844475124669
s__Ruminococcus_lactaris,4.03439693473839
s__Blautia_stercoris,4.0197439395194
s__Gallintestinimicrobium_propionicum,3.95980329212294
s__Clostridium_sp._AM42_36,3.95771911618357
s__Dorea_sp._NSJ_36,3.94631244854841
s__Faecalibacillus_intestinalis,3.91846644256646
s__Dialister_succinatiphilus,3.88808049797504
s__Alistipes_ihumii,3.87162828139069
s__Barnesiella_intestinihominis,3.85099243830241
s__Absicoccus_porci,3.84596633753948
s__Faecalibacterium_sp._CLA_AA_H233,3.81917772741892
s__Roseburia_sp._BX1005,3.81233616095356
s__Clostridium_sp._D43t1_170807_D5,3.77562115099881
s__Faecalibacterium_sp._AF27_11BH,3.7709468024115
s__Prevotella_sp._P5_64,3.71193969676013
s__Clostridium_perfringens,3.68142508490248
s__Blautia_sp._MSJ_19,3.67534949255439
s__Faecalibacterium_prausnitzii,3.66941738463409
s__Anthropogastromicrobium_aceti,3.63018610989146
s__Eubacterium_sp._AF22_8LB,3.59428163397798
s__Mediterraneibacter_glycyrrhizinilyticus,3.58970807208131
s__Roseburia_faecis,3.57174131881666
s__Dorea_sp._AM13_35,3.55859257564772
s__Faecalicatena_fissicatena,3.54713598224597
s__Blautia_sp._MSK20_18,3.51356589084879
s__Kineothrix_sp._MSJ_39,3.51182801253754
s__Slackia_isoflavoniconvertens,3.48169061679252
s__Faecalibacillus_faecis,3.47180305164824
s__Eubacterium_ramulus,3.45757220765023
s__Agathobaculum_sp._M2,3.45460712692606
s__Mitsuokella_jalaludinii,3.44530336234824
s__Ellagibacter_isourolithinifaciens,3.40523951106739
s__Dorea_sp._AF24_7LB,3.40195555201051
s__Olsenella_uli,3.3865673956254
s__Waltera_sp._CLA_AA_H273,3.37937983966971
s__Parolsenella_catena,3.37564413584517
s__Collinsella_bouchesdurhonensis,3.35897589798295
s__Clostridium_sp._AF23_8,3.35410517931684
s__Blautia_sp._BIOML_A1,3.33490804672539
s__Paraprevotella_clara,3.32689814949416
s__Holdemanella_porci,3.30543138893937
s__Faecalibacterium_sp._Marseille_Q4896,3.28206919391241
s__Ruminococcus_sp._NSJ_71,3.26784886335193
s__Lentihominibacter_faecis,3.24552231275908
s__Veillonella_parvula,3.24039852882027
s__Dorea_sp._OM07_5,3.24017100425998
s__Fusicatenibacter_saccharivorans,3.23932604930814
s__Faecalibacillus_sp._MSK20_93,3.21388632079654
s__Paratractidigestivibacter_faecalis,3.20463804012336
s__Blautia_faecicola,3.17281761062724
s__Extibacter_muris,3.1602632482617
s__Blautia_sp._MCC270,3.15790486697276
s__Allisonella_histaminiformans,3.14036702385656
s__Parolsenella_massiliensis,3.11875322018353
s__Brotolimicola_acetigignens,3.02403397471573
s__Prevotella_sp._Marseille_P4119,2.99582559382962
s__Catenibacterium_mitsuokai,2.98151144808372
s__Collinsella_sp._TF05_9AC,2.96043804687133
s__Prevotella_sp._P4_67,2.92758116693668
s__Anaerostipes_hadrus,2.9167960927524
s__Clostridium_spiroforme,2.90966460239645
s__Clostridium_sp._1001270J_160509_D11,2.8813856684255
s__Blautia_schinkii,2.84830913980457
s__Dorea_sp._AF36_15AT,2.83196654733179
s__Phascolarctobacterium_succinatutens,2.83143328969073
s__Clostridium_sp._BIOML_A1,2.82653932098305
s__Phascolarctobacterium_sp._Marseille_Q4147,2.79469270343263
s__Holdemanella_biformis,2.784374619979
s__Mogibacterium_kristiansenii,2.77572713508838
s__Roseburia_hominis,2.75502283161325
s__Holdemanella_sp._MSK_7_32,2.74087351906235
s__Terrisporobacter_glycolicus,2.73860595772889
s__Roseburia_inulinivorans,2.73562551889747
s__Bacteriophage_sp.,2.73268544389178
s__Mediterraneibacter_faecis,2.71168316272197
s__Brotomerdimonas_butyrica,2.70823121572161
s__Anaerobutyricum_hallii,2.70313430526805
s__Prevotella_hominis,2.69895541965572
s__Phocaeicola_massiliensis,2.68386279936824
s__Ruminococcus_bicirculans,2.68111289542516
s__Waltera_intestinalis,2.6780694595561
s__Senegalimassilia_faecalis,2.67622829632853
s__Oliverpabstia_intestinalis,2.6267310190926
s__Methanobrevibacter_smithii,2.61417770667125
s__Dysosmobacter_welbionis,2.61331137109503
s__Megasphaera_elsdenii,2.6014030148977
s__Parabacteroides_merdae,2.59459976344356
s__Dorea_ammoniilytica,2.5513569275206
s__Alistipes_shahii,2.53943699838787
s__Lachnospira_eligens,2.53554868221034
s__Prevotella_pectinovora,2.52402128386883
s__Simiaoa_sunii,2.50916462020884
s__Prevotellamassilia_timonensis,2.50023558085818
s__Bacteroides_xylanisolvens,2.49230842810561
s__Ruminococcus_torques,2.49050693966266
s__Clostridium_sp._AF36_4,2.48916919415143
s__Blautia_faecis,2.48634935189247
s__Prevotella_copri,2.46100864261783
s__Suilimivivens_aceti,2.44301598111532
s__Alistipes_putredinis,2.43994913971241
s__Roseburia_intestinalis,2.43926147124972
s__Pseudoflavonifractor_phocaeensis,2.43664059874321
s__Faecalibacterium_sp._HTFF,2.41353632479537
s__Eggerthella_lenta,2.37483879647841
s__Prevotella_sp._885,2.35633501176762
s__Parabacteroides_distasonis,2.35317305865348
s__Blautia_luti,2.34893870540396
s__Dorea_sp._AM58_8,2.34160447774029
s__Ruminococcus_callidus,2.30890476069799
s__Porcipelethomonas_ammoniilytica,2.30353258644234
s__Oscillibacter_valericigenes,2.26471715845189
s__Blautia_massiliensis,2.24028366909465
s__Streptococcus_thermophilus,2.23979847437085
s__Bacteroides_fragilis,2.23145006324025
s__Dysosmobacter_sp._BX15,2.17916313856301
s__Clostridium_sp._AF37_5,2.15609872714052
s__Pseudoflavonifractor_capillosus,2.14545720459071
s__Alistipes_communis,2.13289706188745
s__Bacteroides_ovatus,2.11435584247215
s__Flavonifractor_plautii,2.10608531793442
s__Collinsella_aerofaciens,2.09606156524111
s__Alistipes_onderdonkii,2.06556145964188
s__Phocaeicola_vulgatus,2.04124866713661
s__Anaeromassilibacillus_sp._An200,2.03319064324829
s__Blautia_glucerasea,2.03231728675783
s__Dorea_longicatena,2.02962010406555
s__Ruthenibacterium_lactatiformans,2.01591687450081
s__Blautia_wexlerae,2.00371617943078
s__Schaalia_odontolytica,1.98336357237485
s__Ruminococcus_champanellensis,1.9566783909734
s__Prevotella_stercorea,1.94735569104247
s__Bacteroides_uniformis,1.93916696627106
s__Pseudoflavonifractor_sp._MSJ_30,1.91394810550513
s__Bacteroides_stercoris,1.89142898416257
s__Ruminococcus_flavefaciens,1.8822265232803
s__Vescimonas_fastidiosa,1.87075174128775
s__Yeguia_hominis,1.86783179220636
s__Blautia_obeum,1.84947431455051
s__Coprococcus_comes,1.83663132574225
s__Vescimonas_coprocola,1.82531452945187
s__Intestinimonas_sp._MSJ_38,1.80769648680678
s__Ruminococcus_gnavus,1.78734323140761
s__Oscillibacter_sp._ER4,1.7783764908334
s__Streptococcus_parasanguinis,1.76472427527015
s__Ruminococcus_sp._Marseille_P6503,1.74522638790952
s__Ruminococcus_sp._210702_SL_1_03,1.74070513326602
s__Bacteroides_thetaiotaomicron,1.70841764439515
s__Oribacterium_sp._oral_taxon_102,1.7044078551309
s__Intestinimonas_butyriciproducens,1.69404498075004
s__Oscillibacter_sp._MSJ_31,1.6829071461183
s__Phocea_massiliensis,1.67950165825651
s__Streptococcus_salivarius,1.6621733778834
s__Butyrivibrio_crossotus,1.59990651320283
s__Qingrenia_yutianensis,1.58425269830553
s__Ruminococcus_sp._M6_2020,1.5742913674005
s__Bacteroides_caccae,1.5534785394255
s__Cyclospora_cayetanensis,1.49061078009322
s__Oscillibacter_sp._MCC667,1.44243653327073
s__Dorea_formicigenerans,1.39053153849193
