Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes	Description	Ontology	Definition
GO:0003723	0.0100203107890056	0.0059591102838466	0.0186385815368341	-0.0212427267712575	-0.000218918167787396	-0.00524483431248803	-0.016578126863664	-0.00194308932309421	-0.00305896610666858	0.0770455503680477	0.0680593858722123	0.06418396067839	0.0868423812942835	0.00145348562788679	0.0621912290330598	0.0681344764105811	0.0553736195078744	0.0473338389289259	0.13005696943092	0.0875575088942967	0.290393134668448	-0.244612439855513	-0.150615983802798	-0.0843339871881285	-0.243314805323571	-0.0350905239780811	-0.0646253542050914	0.896641833188631	0.93030911987649	0.771792819326662	0.806987674278119	0.880418562929022	0.932868641340385	0.807991388522358	0.97203981463307	0.948531791282248	0.966724183368891	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.971716585871495	0.914780835768221	0.991458559225092	0.999498977647672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	RNA binding	MF	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
GO:0005737	0.018842189212918	0.0209338002378195	0.0151095419665163	-0.0130215837162951	-0.000230161435302825	0.00645796175081287	-0.0349772695977914	-0.0490211360030053	0.00104944749016856	0.0784722565497732	0.0696737736826684	0.0659558893763625	0.0857801190742255	0.00145516487139574	0.0625487036435624	0.0687027644911692	0.057951376086418	0.047706750075126	0.240112748649796	0.300454520134983	0.22908556171985	-0.15180188436236	-0.158168630804056	0.103246931984617	-0.509110075218112	-0.845901155649941	0.0219978826584487	0.810469522979156	0.764118130939601	0.819018177000039	0.879484232547901	0.874471011636842	0.917862345553029	0.611192352628967	0.398539686650252	0.982469858627493	0.933358394787536	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.968453183496897	0.803501649286575	0.620465105523545	0.999498977647672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	cytoplasm	CC	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.
GO:0006412	0.110859419594903	-0.00831387874634993	0.023512916096652	0.054592273566443	-0.00106382512721494	-0.14912338872106	-0.0974718556499402	-0.0203116868157863	-0.0388000356285116	0.0911512003937475	0.072991909384004	0.0733869664775566	0.104290022649635	0.00169193487178111	0.0773700161069902	0.0769707495899994	0.0637707596728014	0.0535974861445181	1.21621458758658	-0.113901373679805	0.32039634863287	0.523465928757605	-0.628762457088578	-1.92740542427762	-1.26634931021387	-0.318510974622267	-0.723915213558575	0.225224483757688	0.909421288244594	0.748976200338006	0.601184206289769	0.530165864881262	0.055234705380081	0.206745722379666	0.750403714022148	0.469897478239744	0.528151414411779	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.288635953462484	0.450962326459512	0.887055682108097	0.95818224910626	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	translation	BP	The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.
GO:0005525	-0.0530968277310846	-0.0113085121996208	0.0259790825810018	-0.0073441608073539	0.000147499181107425	0.0180698081127686	0.0535759582260774	0.0705129166799776	0.0146182818742563	0.0822543668340624	0.0708917793899999	0.0669001023249831	0.0888081074819612	0.00148960130208727	0.0672507768764778	0.0710925255283596	0.0588344819018702	0.0497957524985184	-0.645519864473586	-0.159517962405893	0.388326499932724	-0.0826969633244989	0.0990192348118552	0.268692927458044	0.753608875587144	1.19849643271417	0.293564835167241	0.519272316148051	0.873409182663862	0.698155132340724	0.934168730582923	0.921214408236449	0.788421269601895	0.451901007677938	0.232031054553796	0.769371021457991	0.781147320058586	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.901877013276314	0.694084467957737	0.430980453804872	0.988893065962748	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	GTP binding	MF	Interacting selectively and non-covalently with GTP, guanosine triphosphate.
GO:0003735	0.114338046034105	-0.00850169307127311	0.0243369101713107	0.0546849884760839	-0.00107473381406592	-0.153619446948609	-0.101287666983009	-0.0234971291966616	-0.0397814643624313	0.0921183507714582	0.0735076505877881	0.073918566936679	0.105070105508479	0.00170514591209452	0.0780617754756189	0.0775922913467845	0.0643101312991323	0.0540078248274141	1.24120813145876	-0.11565725476588	0.329239475004413	0.520461916464632	-0.630288473521757	-1.96792150848002	-1.3053831150613	-0.365372122898755	-0.736587049923892	0.215868940599804	0.908031140650186	0.742292240711944	0.603272275973797	0.529169025397607	0.0503506824699058	0.193144780127671	0.715189531049144	0.462169077752152	0.519486705884655	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.276323067739245	0.43550433596095	0.869600912772312	0.955319619287098	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	structural constituent of ribosome	MF	The action of a molecule that contributes to the structural integrity of the ribosome.
GO:0003700	-0.0917684057889065	-0.0110625538709234	0.0949872533231908	0.0462635017459987	-0.0017936409640401	0.198844890458384	0.188202013301773	0.0328241101110377	0.0676070143295053	0.083917886134482	0.0761926453792639	0.0768889813336101	0.102015669792724	0.00179518370030729	0.0777166752456596	0.0964640288191143	0.0584051567918785	0.0564861324556698	-1.09355001676095	-0.145191885855352	1.23538186715018	0.4534940743907	-0.999140624846962	2.55858719933454	1.95100718480961	0.562007054068931	1.19687809007924	0.275364818191569	0.884694141128347	0.21802422249655	0.650646177301068	0.318839403814648	0.01119083016892	0.0523434349508077	0.574691246473357	0.232660005294527	0.593093454566457	0.997371205612826	0.997015320589748	0.999560061809438	0.951943489028593	0.121352586109214	0.204002984050388	0.768531299714293	0.904471788234203	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	DNA binding transcription factor activity	MF	Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
GO:0005840	0.112473896875771	-0.00883272125638499	0.0273601271427094	0.0587573561455061	-0.00111320392156508	-0.151706424024031	-0.100300620405094	-0.021260652878228	-0.0388836496713014	0.0918989522205136	0.0733786124838798	0.0737970766503507	0.104889605385343	0.00169956415765304	0.077975714466131	0.0772779971808376	0.0641072142356312	0.0538798727483472	1.22388660760666	-0.120371876182933	0.370748116112258	0.560182831555554	-0.654993762108003	-1.94555991006566	-1.2979195122045	-0.331642126892034	-0.721673004925464	0.222322196934755	0.904299945138499	0.711186812202379	0.575932579454962	0.513165471247841	0.0529991747152808	0.195692884547464	0.74047957943529	0.471272423360731	0.525456394662232	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.284167447649399	0.43816421642627	0.881987709870652	0.959315965380427	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	ribosome	CC	An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.
GO:0006508	-0.0412839650097424	-0.0321117005902126	0.0099962224603236	-0.0446879510542085	-0.000880888831616424	0.0791097073533488	0.102976556187891	0.111866659137868	0.0338638409318716	0.0834769712603296	0.0716037128673665	0.0694235121030871	0.0874729401066509	0.00149649697497687	0.0657404850812025	0.0730266009330537	0.0620612527015497	0.050989528205093	-0.494555137619872	-0.448464182991376	0.143989005417649	-0.510877432491957	-0.588633887235246	1.2033636085227	1.41012391200152	1.80252015981422	0.664133247039716	0.621414486590645	0.654265700360377	0.885642781696248	0.609956236919037	0.556719092881127	0.230146807904394	0.159934826544514	0.0728511615343519	0.507310078787753	0.841713773894621	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.543772558726252	0.390232129127221	0.191950532357365	0.961430786111117	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	proteolysis	BP	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.
GO:0009058	-0.0220424448349039	0.0117923790246847	0.033873144492579	-0.0128347136255844	-0.000251639176454484	0.040628366166803	0.0170963853441823	0.00162420298901301	0.00960193289136267	0.0807267273055047	0.0723179023234064	0.0676532413413503	0.0896163033940191	0.00149837211183811	0.0654485857030428	0.0721801562505055	0.060270711126762	0.0496775531917293	-0.273050147957637	0.163063068006993	0.500687680604528	-0.143218512028482	-0.16794171118534	0.620767671759087	0.236857139583466	0.0269484623401401	0.193285141365643	0.785074345745872	0.870620532851806	0.617098388738257	0.886250511015573	0.8667855499054	0.535403947450331	0.812991065171481	0.97852560641983	0.846916453503632	0.924825286517787	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.78654487503275	0.919140365418105	0.991741781547057	0.992805874684082	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
GO:0003676	-0.0457645891217497	0.00717500228201879	0.0657936741070033	0.0436887098473088	-0.000200563860525346	0.047577407613093	0.0140189986054547	0.0199879630308233	0.0043643879662786	0.0788797313125161	0.069449019615906	0.0678465001969785	0.087869192120618	0.00147524994580664	0.0655122389385692	0.069976545380357	0.0586804609985749	0.0494343874137538	-0.580181858637849	0.103313226330635	0.969743080571361	0.497201678915374	-0.135952460866338	0.726236935020742	0.200338535279994	0.340623824194373	0.0882864781907731	0.562393935019897	0.917809793542351	0.333254194891044	0.619550223919295	0.891984898132688	0.468476130198598	0.841403455816021	0.733716324937534	0.929730407677455	0.808468216166534	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.738263891850696	0.93604292833971	0.876985622832577	0.999498977647672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nucleic acid binding	MF	Interacting selectively and non-covalently with any nucleic acid.
