Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO:0019217	0.194228342081004	0.194228342177335	0.314113046807891	0.241878644599563	0.227589783086662	0.243314060105443	0.314113046807891	0.228	0.967496855345912	FALSE	TRUE	regulation of fatty acid metabolic process	BP	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving fatty acids.
GO:0008375	-0.113318770535785	-0.113318770562634	-0.182148132950577	0.218465755502369	0.193084229902986	0.258908050038627	0.182148132950577	0.629	0.99941354224958	FALSE	TRUE	acetylglucosaminyltransferase activity	MF	Catalysis of the transfer of an N-acetylglucosaminyl residue from UDP-N-acetyl-glucosamine to a sugar.
GO:0004112	-2.93603211261545e-11	-0.147679288799805	-0.452755991381748	0.210521497757485	0.197797422118	0.277499164281342	0.452755991381748	0.113	0.894464135021097	FALSE	TRUE	cyclic-nucleotide phosphodiesterase activity	MF	Catalysis of the reaction: a nucleoside cyclic phosphate + H2O = a nucleoside phosphate.
GO:0003955	-2.47746756067887e-10	-0.183280231951371	-0.183280232015052	0.223864310360257	0.19962012642848	0.270527309038702	0.183280232015052	0.642	0.99941354224958	FALSE	TRUE	NAD(P)H dehydrogenase (quinone) activity	MF	Catalysis of the reaction: NAD(P)H + H+ + a quinone = NAD(P)+ + a hydroquinone.
GO:0016833	-1.90175998756051e-09	-0.538244478283872	-0.538244478908971	0.237725287472184	0.216832903445994	0.299801427044126	0.538244478908971	0.072	0.780763005780347	FALSE	TRUE	oxo-acid-lyase activity	MF	Catalysis of the cleavage of a C-C bond by other means than by hydrolysis or oxidation, of a 3-hydroxy acid.
GO:0070205	-1.03537642581916e-11	-2.98609811840537e-12	0.202291222503176	0.182762286138989	0.164446074070889	0.221543324457047	0.202291222503176	0.459	0.99941354224958	FALSE	TRUE	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity	MF	Catalysis of the reaction: 5-enolpyruvoyl-6-hydroxy-2-succinyl-cyclohex-3-ene-1-carboxylate = (1R,6R)-2-succinyl-6-hydroxycyclohexa-2,4-diene-1-carboxylate + pyruvate.
GO:0004143	0.279247505622062	0.279247505480057	0.279247505638431	0.190765989098753	0.206773346615497	0.235501324843784	0.279247505638431	0.288	0.992020942408377	FALSE	TRUE	diacylglycerol kinase activity	MF	Catalysis of the reaction: NTP + 1,2-diacylglycerol = NDP + 1,2-diacylglycerol-3-phosphate.
GO:0004529	0.300604778687048	0.300604778732491	0.300604779423841	0.218703685574672	0.19690294113215	0.26265278199952	0.300604779423841	0.313	0.99941354224958	FALSE	TRUE	exodeoxyribonuclease activity	MF	Catalysis of the sequential cleavage of mononucleotides from a free 5' or 3' terminus of a DNA molecule.
GO:0018492	-6.88817636770776e-11	-2.16425276583409e-10	0.838344476925684	0.242506674098369	0.213680591714238	0.284069045019497	0.838344476925684	0.007	0.211806451612903	FALSE	TRUE	carbon-monoxide dehydrogenase (acceptor) activity	MF	Catalysis of the reaction: CO + H2O + acceptor = CO2 + reduced acceptor.
GO:0015091	1.50630142507067e-11	2.7234663680309e-11	0.510441077286773	0.235939489919102	0.196008505817554	0.280392261694569	0.510441077286773	0.085	0.793333333333333	FALSE	TRUE	ferric iron transmembrane transporter activity	MF	Enables the transfer of ferric iron (Fe(III) or Fe3+) ions from one side of a membrane to the other.
GO:0052837	-1.967073366104e-11	-0.159523918286289	-0.159523918472328	0.225873064894393	0.205290173889236	0.258338968656671	0.159523918472328	0.692	0.99941354224958	FALSE	TRUE	thiazole biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of a thiazole, a five-membered heterocyclic ring structure containing a sulfur in the 1-position and a nitrogen in the 3-position.
GO:0008948	1.03336005916562e-11	-0.267600313086532	-0.267600313068444	0.224535564752888	0.194140675933412	0.283505045245183	0.267600313068444	0.413	0.99941354224958	FALSE	TRUE	oxaloacetate decarboxylase activity	MF	Catalysis of the reaction: oxaloacetate = pyruvate + CO2.
GO:0015496	6.41006356875792e-11	1.83295372531071e-10	0.309622942303631	0.206079987241789	0.183498994278808	0.243204223409231	0.309622942303631	0.241	0.967496855345912	FALSE	TRUE	putrescine:ornithine antiporter activity	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: putrescine(out) + ornithine(in) = putrescine(in) + ornithine(out).
GO:0015822	6.41006356875792e-11	1.83295372531071e-10	0.309622942303631	0.206079987241789	0.183498994278808	0.243204223409231	0.309622942303631	0.217	0.967496855345912	FALSE	TRUE	ornithine transport	BP	The directed movement of ornithine, 2,5-diaminopentanoic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
