Feature	Description	lfc_group1g2	lfc_group1g3	lfc_group1g4	p	q	Ontology	Definition
GO:0009366	enterobactin synthetase complex	-0.288	-0.932	-0.932	0.002	0.0815652173913043	CC	A multienzyme complex usually composed of four proteins, EntB, EntD, EntE and EntF. Plays a role in the enterobactin biosynthesis pathway.
GO:0008742	L-ribulose-phosphate 4-epimerase activity	-0.024	-0.54	-0.804	0.002	0.0815652173913043	MF	Catalysis of the reaction: L-ribulose 5-phosphate = D-xylulose 5-phosphate.
GO:0015574	trehalose transmembrane transporter activity	-0.479	-0.78	-0.78	0.002	0.0815652173913043	MF	Enables the transfer of trehalose from one side of a membrane to the other. Trehalose is the disaccharide alpha-D-glucopyranosyl-alpha-D-glucopyranoside that acts of a reserve carbohydrate in certain fungi, algae and lichens.
GO:0050151	oleate hydratase activity	0	0	0.724	0.002	0.0815652173913043	MF	Catalysis of the reaction: (R)-10-hydroxystearate = H(2)O + oleate.
GO:0006784	heme a biosynthetic process	0.224	0.24	1.084	0.002	0.0815652173913043	BP	The chemical reactions and pathways resulting in the formation of heme a, a derivative of heme found in cytochrome aa3.
GO:0016539	intein-mediated protein splicing	0.017	0.191	1.109	0.002	0.0815652173913043	BP	The removal of an internal amino acid sequence (an intein) from a protein during protein maturation; the excision of inteins is precise and the N- and C-terminal exteins are joined by a normal peptide bond. Protein splicing involves 4 nucleophilic displacements by the 3 conserved splice junction residues.
GO:0004549	tRNA-specific ribonuclease activity	0	-0.869	-0.869	0.003	0.110352941176471	MF	Catalysis of the hydrolysis of phosphodiester bonds in tRNA molecules.
GO:0019572	L-arabinose catabolic process	-0.024	-0.54	-0.804	0.003	0.110352941176471	BP	The chemical reactions and pathways resulting in the breakdown of L-arabinose, the L-enantiomer of arabino-pentose.
GO:0006116	NADH oxidation	0	0.193	0.752	0.003	0.110352941176471	BP	A metabolic process that results in the oxidation of reduced nicotinamide adenine dinucleotide, NADH, to the oxidized form, NAD.
GO:0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	0	0.519	1.076	0.003	0.110352941176471	MF	Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D glycerate; this reaction does not require the cofactor 2,3-bisphosphoglycerate.
GO:0033926	glycopeptide alpha-N-acetylgalactosaminidase activity	-0.04	-0.376	-0.811	0.004	0.138962962962963	MF	Catalysis of the reaction: D-galactosyl-3-(N-acetyl-alpha-D-galactosaminyl)-L-serine + H2O = D-galactosyl-3-N-acetyl-alpha-D-galactosamine + L-serine in mucin-type glycoproteins.
GO:0009678	hydrogen-translocating pyrophosphatase activity	0	0.208	0.859	0.004	0.138962962962963	MF	Catalysis of the hydrolysis of pyrophosphate, which generates a proton motive force.
GO:0003910	DNA ligase (ATP) activity	0.285	0.729	0.877	0.004	0.138962962962963	MF	Catalysis of the reaction: ATP + deoxyribonucleotide(n) + deoxyribonucleotide(m) = AMP + diphosphate + deoxyribonucleotide(n+m).
GO:0008940	nitrate reductase activity	0	0	0.659	0.005	0.164561403508772	MF	Catalysis of the reaction: nitrite + acceptor = nitrate + reduced acceptor.
GO:0033103	protein secretion by the type VI secretion system	0	0.46	0.783	0.005	0.164561403508772	BP	The process in which proteins are transferred into the extracellular milieu or directly into host cells by the type VI secretion system. Proteins secreted by this system do not require an N-terminal signal sequence.
GO:0006003	fructose 2,6-bisphosphate metabolic process	-0.342	-0.42	-0.757	0.006	0.194068965517241	BP	The chemical reactions and pathways involving fructose 2,6-bisphosphate. The D enantiomer is an important regulator of the glycolytic and gluconeogenic pathways. It inhibits fructose 1,6-bisphosphatase and activates phosphofructokinase.
GO:1901515	poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity	-0.111	-0.173	-0.72	0.007	0.211806451612903	MF	Enables the transfer of poly-beta-1,6-N-acetyl-D-glucosamine from one side of a membrane to the other.
GO:0003994	aconitate hydratase activity	0	0	0.742	0.007	0.211806451612903	MF	Catalysis of the reaction: citrate = isocitrate. The reaction occurs in two steps: (1) citrate = cis-aconitate + H2O, (2) cis-aconitate + H2O = isocitrate. This reaction is the interconversion of citrate and isocitrate via the labile, enzyme-bound intermediate cis-aconitate. Water is removed from one part of the citrate molecule and added back to a different atom to form isocitrate.
GO:0018492	carbon-monoxide dehydrogenase (acceptor) activity	0	0	0.838	0.007	0.211806451612903	MF	Catalysis of the reaction: CO + H2O + acceptor = CO2 + reduced acceptor.
GO:0009448	gamma-aminobutyric acid metabolic process	-0.714	-0.774	-0.774	0.008	0.224	BP	The chemical reactions and pathways involving gamma-aminobutyric acid (GABA, 4-aminobutyrate), an amino acid which acts as a neurotransmitter in some organisms.
GO:0016775	phosphotransferase activity, nitrogenous group as acceptor	-0.689	-0.689	-0.689	0.008	0.224	MF	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a nitrogenous group (acceptor).
GO:0015675	nickel cation transport	-0.167	-0.167	-0.663	0.008	0.224	BP	The directed movement of nickel (Ni) cations into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
GO:0003867	4-aminobutyrate transaminase activity	-0.714	-0.774	-0.774	0.009	0.228162162162162	MF	Catalysis of the reaction: 4-aminobutanoate + amino group acceptor = succinate semialdehyde + amino acid.
GO:0004111	creatine kinase activity	-0.713	-0.713	-0.713	0.009	0.228162162162162	MF	Catalysis of the reaction: ATP + creatine = N-phosphocreatine + ADP + 2 H(+).
GO:0004799	thymidylate synthase activity	0	0	0.29	0.009	0.228162162162162	MF	Catalysis of the reaction: 5,10-methylenetetrahydrofolate + dUMP = 7,8-dihydrofolate + thymidylate.
GO:0019008	molybdopterin synthase complex	0	0	0.489	0.009	0.228162162162162	CC	A protein complex that possesses molybdopterin synthase activity. In E. coli, the complex is a heterotetramer consisting of two MoaD and two MoaE subunits.
GO:0008733	L-arabinose isomerase activity	0.706	0.816	0.816	0.009	0.228162162162162	MF	Catalysis of the reaction: L-arabinose = L-ribulose.
GO:0008446	GDP-mannose 4,6-dehydratase activity	0	0.626	0.877	0.009	0.228162162162162	MF	Catalysis of the reaction: GDP-alpha-D-mannose = GDP-4-dehydro-6-deoxy-alpha-D-mannose + H(2)O.
GO:0098662	inorganic cation transmembrane transport	0.065	0.536	0.925	0.009	0.228162162162162	BP	A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.
