"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Oscillibacter_valericigenes","GO.0003735.InterPro.",-0.416521739130435,0.675324675324675,24,21,0.000116098948283875,0.0102399272386378
"s__Bacteroides_fragilis","GO.0022857.InterPro.",0.589565217391304,0.627594627594628,24,27,0.837754034580366,0.851266196428436
"s__Oscillibacter_valericigenes","GO.0022857.InterPro.",0.211304347826087,-0.666233766233766,24,21,0.00190527458771929,0.0301611214881288
"s__Blautia_wexlerae","GO.0006265.InterPro.",0.625217391304348,0.202608695652174,24,24,0.0926880897206473,0.162769328289917
"s__Mediterraneibacter_faecis","GO.0006265.InterPro.",0.649915302089215,0.294466403162055,22,23,0.148459632155091,0.21946651326313
"s__Ruminococcus_torques","GO.0005840.InterPro.",-0.259130434782609,-0.618461538461539,24,25,0.140133274196154,0.212093604188774
"s__Oscillibacter_valericigenes","GO.0005840.InterPro.",-0.438260869565217,0.675324675324675,24,21,8.30024438079946e-05,0.00861272416925308
"s__Extibacter_muris","GO.0006260.InterPro.",0.687218045112782,0.368421052631579,20,18,0.205163705150682,0.273977773693472
"s__Phocaeicola_massiliensis","GO.0006260.InterPro.",-0.0863918690005647,-0.716544325239977,22,22,0.0138026209122388,0.0631008913511761
"s__Mediterraneibacter_faecis","GO.0006281.InterPro.",0.748164878599661,0.33102766798419,22,23,0.055092025423849,0.120275164415433
"s__Ruminococcus_gnavus","GO.0051536.InterPro.",0.645217391304348,0.201538461538462,24,25,0.0699388134168175,0.137802319457603
"s__Dorea_longicatena","GO.0046872.InterPro.",0.676923076923077,0.268695652173913,25,24,0.07688948647552,0.146077602738629
"s__Roseburia_intestinalis","GO.0046872.InterPro.",0.636363636363636,0.183794466403162,23,23,0.0787918449411392,0.148131359268113
"s__Roseburia_inulinivorans","GO.0008168.InterPro.",0.629565217391304,0.293478260869565,24,23,0.167445416998658,0.238782308476664
"s__Mediterraneibacter_faecis","GO.0008168.InterPro.",0.736871823828346,0.397233201581028,22,23,0.108121001820138,0.180326640149128
"s__Roseburia_intestinalis","GO.0008168.InterPro.",0.682806324110672,-0.208498023715415,23,23,0.00118055480888516,0.0268676607067451
"s__Dorea_longicatena","GO.0006298.InterPro.",0.676923076923077,0.152173913043478,25,24,0.0307014095461246,0.0902621440656065
"s__Bacteroides_fragilis","GO.0016310.InterPro.",0.663478260869565,0.364102564102564,24,26,0.174067856774629,0.245056424062606
"s__Ruminococcus_gnavus","GO.0016310.InterPro.",0.834782608695652,0.554615384615385,24,25,0.0607613214178189,0.126945999283625
"s__Dorea_longicatena","GO.0030983.InterPro.",0.64,0.134782608695652,24,24,0.0475066333530043,0.112334720153753
"s__Prevotella_stercorea","GO.0006352.InterPro.",-0.0897435897435897,0.655384615384615,27,25,0.00360015178113457,0.0374820988887341
"s__Dorea_longicatena","GO.0006352.InterPro.",0.64,0.476521739130435,25,24,0.437781287791376,0.485661694027065
"s__Coprococcus_comes","GO.0006352.InterPro.",0.267826086956522,0.651304347826087,24,24,0.1089295256887,0.181129856892262
