t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Prevotella_jejuni,HMDB0256432,0.341266968325792,-0.0664350846721667,0.0499241759118844,-0.388615216201423,3.06143265712478,0.002539,decrease
s__Actinomyces_sp._ICM47,HMDB0253018,0.206312098188194,0.234611115854179,0.00321479374110953,-0.459677419354839,3.0605888395987,0.002548,decrease
s__Actinomyces_sp._ph3,HMDB0015680,0.0508785332314744,0.0532818532818533,-0.147873303167421,0.729824561403509,3.05987977387393,0.002548,increase
s__Streptococcus_sp._1001283B150225_161107_H12,HMDB0031923,0.238383838383838,-0.189618372748228,0.00751066856330014,-0.456284760845384,3.05889178548165,0.002554,decrease
s__Veillonella_atypica,HMDB0000239,0.0765018917838137,0.0989177489177489,0.111989063568011,-0.541109625668449,3.0585452897502,0.002556,decrease
s__Prevotella_jejuni,HMDB0000594,0.281266968325792,-0.0419018671298307,-0.0512810280150052,-0.440613026819923,3.0451825552965,0.002651,decrease
s__Rothia_dentocariosa,HMDB0252828,-0.359056732740943,0.00341500896439853,-0.251656055051772,0.323313782991202,3.04214273119435,0.00268,increase
s__Streptococcus_sp._HMSC034E03,HMDB0245980,-0.096065704881725,-0.0726551226551227,0.18194962931805,0.539104278074866,3.04000641357444,0.002695,increase
s__Prevotella_vespertina,HMDB0000050,-0.382210812443371,0.123225611597705,0.337810682178741,0.405217391304348,3.03979876262392,0.002699,increase
s__Streptococcus_sp._A12,HMDB0031923,0.293005526967791,-0.234525740630069,-0.00347083926031294,-0.406451612903226,3.03960729110536,0.002699,decrease
s__Haemophilus_parainfluenzae,HMDB0014583,-0.364056107539451,0.183914617876882,0.0811293969188706,0.303475935828877,3.03649864284443,0.002726,increase
s__Fusobacterium_pseudoperiodonticum,HMDB0001934,-0.611376465479809,-0.442900564481112,-0.025073056691993,0.0748717948717949,3.03575218902151,0.002736,increase
s__Actinomyces_sp._oral_taxon_181,HMDB0011503,0.128893058161351,-0.122095779990517,-0.188448393711552,-0.663157894736842,3.03455111046317,0.002746,decrease
s__Streptococcus_timonensis,HMDB0245980,-0.428096834722692,-0.0508099866590433,0.00239234449760766,0.226890756302521,3.03346313521258,0.002756,increase
s__Candidatus_Nanosynbacter_sp._TM7_057,HMDB0000070,0.345431145431145,0.108906882591093,-0.0835906232132647,-0.524561403508772,3.0310045020589,0.002777,decrease
s__Granulicatella_sp._HMSC30F09,HMDB0247415,-0.141695146958305,-0.00469563732604798,0.0158283031522468,0.518548387096774,3.02650171240279,0.002829,increase
s__Prevotella_melaninogenica,HMDB0015680,0.239888514389422,-0.218029350104822,0.0751920341394026,-0.437096774193548,3.0224456543526,0.002875,decrease
s__Rothia_sp._HMSC062F03,HMDB0072871,-0.243267214965328,0.0472978741569197,-0.0895877548395395,0.434017595307918,3.01497081519953,0.002943,increase
s__Neisseria_flavescens,HMDB0244166,0.0620929222752931,0.0326747720364742,0.0647216633132126,-0.582111436950147,3.01423441335212,0.002948,decrease
s__Veillonella_parvula,HMDB0012204,0.0950321449444769,0.180808080808081,0.0378082191780822,-0.502005347593583,3.00706284465369,0.003018,decrease
s__Alloprevotella_sp._oral_taxon_473,HMDB0029051,-0.210801393728223,0.326849894291755,0.0662337662337662,0.548695652173913,3.00084969544429,0.003085,increase
s__Fusobacterium_nucleatum,HMDB0000064,0.260822510822511,-0.0799095022624434,-0.104379702874783,-0.425139043381535,2.99818260090404,0.003109,decrease
s__Streptococcus_sp._HPH0090,HMDB0243539,-0.165892522070811,-0.313275613275613,0.0442452284557548,0.424120234604106,2.9950042025093,0.003152,increase
s__Rothia_sp._HMSC065C12,HMDB0253018,-0.0739795133655295,-0.00628930817610063,0.0191114149008886,0.547459893048128,2.99449388403654,0.003163,increase
s__Fusobacterium_nucleatum,HMDB0000062,0.238888888888889,-0.171131221719457,0.217956138658435,-0.443381535038932,2.99386973742854,0.003171,decrease
s__Veillonella_dispar,HMDB0004610,-0.24979544126242,0.111949685534591,-0.0800273410799727,0.405414438502674,2.99141973447232,0.0032,increase
s__Streptococcus_sp._A12,HMDB0059871,0.311759100438346,-0.191923503799197,-0.0425604551920341,-0.378865406006674,2.99053836587852,0.003208,decrease
s__Haemophilus_parahaemolyticus,HMDB0000062,0.0917593936461861,-0.163025210084034,0.130969194945986,0.587609970674487,2.98373421131547,0.003287,increase
s__Schaalia_odontolytica,HMDB0004610,-0.256254272043746,0.0635410710882409,-0.131838687628161,0.403409090909091,2.98139228148722,0.003304,increase
s__Abiotrophia_defectiva,HMDB0000201,0.157285873192436,0.0475806451612903,0.453755970473296,-0.55957086391869,2.97933321095232,0.003331,decrease
s__Rothia_aeria,HMDB0038835,-0.031630801140783,-0.213059163059163,-0.0159289067739772,-0.625403225806452,2.97170232676505,0.003417,decrease
s__Streptococcus_infantis,HMDB0000034,0.126641853025316,-0.121645021645022,-0.15385879942842,-0.499465240641711,2.97094932861482,0.003424,decrease
s__Prevotella_sp._oral_taxon_306,HMDB0256432,0.28888553307158,-0.23539421440726,0.0816499206768905,-0.485177865612648,2.96726206432595,0.003463,decrease
s__Veillonella_dispar,HMDB0000239,-0.0305084745762712,0.10653706880122,0.000738209159261791,-0.568516042780749,2.96616356953729,0.003474,decrease
s__Lancefieldella_parvula,HMDB0303759,0.0959183673469388,0.282554087999352,0.144225397078777,-0.526153846153846,2.96621734150078,0.003474,decrease
s__Streptococcus_sp._HMSC034E03,HMDB0000034,-0.00501399612415023,-0.120707070707071,-0.0999526789000473,-0.596256684491979,2.96529748556426,0.003482,decrease
s__Streptococcus_parasanguinis,HMDB0004827,-0.163997662185856,-0.0185425685425685,0.0600791613449841,0.46707410236822,2.96305851063449,0.00351,increase
s__Leptotrichia_sp._oral_taxon_218,HMDB0246022,-0.402316602316602,0.027464711675238,-0.10800185013876,0.428571428571429,2.96261119992267,0.003515,increase
s__Streptococcus_sp._UMB0029,HMDB0001043,0.192822966507177,-0.0465367965367965,-0.0351606288448394,-0.454545454545455,2.9623552514399,0.003519,decrease
s__Streptococcus_sp._A12,HMDB0072871,0.297198399085192,-0.179714846751473,-0.062475106685633,-0.385984427141268,2.9582035595296,0.00357,decrease
s__Campylobacter_concisus,HMDB0000252,-0.558836300477638,0.192476102374345,0.0533796127146511,0.146153846153846,2.95738870891431,0.003583,increase
s__Streptococcus_sp._HSISS2,HMDB0059871,-0.42241968557758,-0.0194570135746606,-0.186466165413534,0.234970674486804,2.9546048534675,0.003617,increase
s__Leptotrichia_sp._oral_taxon_221,HMDB0254257,0.194956206584114,-0.248565388100272,-0.0504977375565611,-0.58796992481203,2.95053637389679,0.003681,decrease
s__Haemophilus_paraphrohaemolyticus,HMDB0011749,0.13413506012951,-0.0599472990777339,-0.182775119617225,-0.547345374931582,2.9463983177888,0.003736,decrease
s__Oribacterium_sinus,HMDB0011503,0.28874296435272,0.0534709193245779,0.21562980030722,-0.499717673630717,2.94263211320764,0.003777,decrease
s__Veillonella_sp._CLA_AA_H247,HMDB0000162,0.122722141590066,0.25501579441646,-0.0175194372454646,-0.485714285714286,2.94179792816912,0.003789,decrease
s__Alloprevotella_sp._oral_taxon_473,HMDB0011504,-0.083623693379791,0.219732205778717,0.130735930735931,0.623478260869565,2.94176976868054,0.003789,increase
s__Streptococcus_sp._HMSC074B11,HMDB0000239,0.0362668799409394,-0.0750524109014675,0.188837478311163,0.577874331550802,2.94053919348528,0.003805,increase
s__Granulicatella_adiacens,HMDB0247415,-0.093207155820586,-0.0703259005145798,-0.0790042674253201,0.526069518716578,2.9384807572842,0.003829,increase
s__Fusobacterium_pseudoperiodonticum,HMDB0254033,-0.399696048632219,0.0465696917064698,0.246347165400351,0.327863247863248,2.93737106487895,0.003846,increase
s__Streptococcus_sp._HPH0090,HMDB0029388,0.0420498938755422,0.468903318903319,-0.274646406225354,-0.39149560117302,2.93601571217627,0.003862,decrease
s__Alloprevotella_rava,HMDB0000252,-0.534824046920821,0.196358543417367,-0.0833619210977702,0.276115189158667,2.93120434952533,0.003928,increase
s__Prevotella_vespertina,HMDB0032538,0.358954998489882,-0.160676532769556,0.0753040719196193,-0.401739130434783,2.92564355259279,0.004005,decrease
s__Streptococcus_sp._263_SSPC,HMDB0243539,-0.207542526684918,-0.0103174603174603,-0.0276565539723434,0.431149732620321,2.92265133823068,0.004034,increase
s__Gemella_morbillorum,HMDB0028991,-0.242610837438424,0.199095022624434,0.268505663134819,0.446275946275946,2.92197458511732,0.00404,increase
s__Leptotrichia_sp._oral_taxon_218,HMDB0000132,-0.0898326898326898,0.510449720976037,0.124537465309898,-0.554545454545455,2.91577750618159,0.004132,decrease
s__Actinomyces_sp._ph3,HMDB0011504,0.247975553857907,-0.0416988416988417,-0.214932126696833,-0.580701754385965,2.91360002819449,0.004163,decrease
s__Streptococcus_timonensis,HMDB0002825,0.228090682580209,0.047074518772632,0.13008044586992,-0.405042016806723,2.91067091233374,0.004209,decrease
s__Veillonella_atypica,HMDB0256432,0.27841520809622,-0.326767676767677,0.182228298017772,-0.364973262032086,2.90977362916612,0.004218,decrease
s__Rothia_aeria,HMDB0247055,-0.147199896292455,-0.0335497835497836,0.236753856472166,-0.570967741935484,2.90943683956155,0.004221,decrease
s__Veillonella_rogosae,HMDB0000706,-0.133329012185637,-0.23453401943968,-0.0240967283072546,0.450868983957219,2.90771402809568,0.004247,increase
