t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Streptococcus_sp._1001283B150225_161107_H12,gut_s__Faecalibacillus_sp._MSK20_93,0.44729907773386,-0.103132161955691,-0.00494597839135654,-0.478571428571429,2.99478524929745,0.003162,decrease
s__Porphyromonas_sp._KLE_1280,gut_s__Simiaoa_sunii,-0.195993031358885,-0.323996060838166,-0.0671665860345106,0.531338226990401,2.9913261683161,0.0032,increase
s__Aggregatibacter_sp._oral_taxon_458,gut_s__Eubacterium_sp._AF22_8LB,0.355665024630542,0.298841698841699,0.0525722339675828,-0.536842105263158,2.99095506356104,0.003204,decrease
s__Streptococcus_sp._F0442,gut_s__Anaerobutyricum_soehngenii,0.0113997113997114,0.232946298984035,-0.208819345661451,-0.511993888464477,2.99083849306604,0.003206,decrease
s__Rothia_dentocariosa,gut_s__Bifidobacterium_pseudocatenulatum,-0.161663143058492,0.398257839721254,0.203014278159704,0.529254727474972,2.99056919790034,0.003207,increase
s__Rothia_sp._HMSC065C12,gut_s__Dorea_sp._AM58_8,0.256575102279369,0.0989356555394291,0.0877156608663458,-0.400735294117647,2.98917318807866,0.003217,decrease
s__Porphyromonas_sp._KLE_1280,gut_s__sp._22,0.298432055749129,-0.0467228361965204,-0.113397129186603,-0.498588368153586,2.98823539093765,0.003231,decrease
s__Streptococcus_sp._Marseille_Q0941,gut_s__Ruminococcus_bromii,-0.163431305536569,0.241318848866019,-0.0288193456614509,0.482286096256685,2.98433043247106,0.003286,increase
s__Porphyromonas_pasteri,gut_s__Holdemanella_porci,0.336898395721925,0.0173067804646752,-0.142064372918979,-0.483201581027668,2.98431130750024,0.003286,decrease
s__Gemella_haemolysans,gut_s__Romboutsia_timonensis,-0.269756838905775,-0.0183673469387755,-0.0634836695122258,0.43743842364532,2.98358717356428,0.003294,increase
s__Actinomyces_bouchesdurhonensis,gut_s__Phascolarctobacterium_succinatutens,0.0348837209302326,-0.0470383275261324,-0.262604201913316,0.570443349753695,2.98175952891877,0.003318,increase
s__Porphyromonas_sp._oral_taxon_279,gut_s__Eggerthella_lenta,0.588259109311741,0.237456445993031,-0.151996370235935,-0.110769230769231,2.98086144693306,0.00333,decrease
s__Streptococcus_sp._1001283B150225_161107_H12,gut_s__Butyricicoccus_faecihominis,0.131541833428626,-0.032124849939976,-0.321979513760336,-0.527919911012236,2.97990303634497,0.003336,decrease
s__Prevotella_melaninogenica,gut_s__Blautia_obeum,0.0487354750512645,0.0198924272176214,-0.0271504381093422,-0.576612903225806,2.97949468594072,0.00334,decrease
s__Actinomyces_bouchesdurhonensis,gut_s__Phascolarctobacterium_sp._Marseille_Q4147,-0.00981576562971912,-0.231533101045296,-0.31038961038961,0.508374384236453,2.97625377505177,0.003375,increase
s__Gemella_sanguinis,gut_s__Clostridium_sp._OM08_29,-0.515572232645403,0.0896358543417367,0.0887446553262174,0.198522167487685,2.97501704273231,0.003385,increase
s__Streptococcus_vestibularis,gut_s__Fusicatenibacter_sp._CLA_AA_H277,-0.123103212576897,0.00249959683921948,-0.0625837320574163,0.506187929717342,2.97435558016717,0.003389,increase
s__Neisseria_sp._HMSC071A01,gut_s__Roseburia_sp._BX1005,-0.26215644820296,-0.00844125809435708,0.113811188811189,0.440725806451613,2.96704339466563,0.003466,increase
s__Prevotella_melaninogenica,gut_s__sp._13,0.193916609706083,0.124220951079997,-0.248241392077009,0.601612903225806,2.96592795347751,0.00348,increase
s__Gemella_morbillorum,gut_s__Dorea_sp._AM10_31,-0.127425195349724,0.233979591836735,-0.115071390798519,0.54945054945055,2.96500094127264,0.003493,increase
s__Streptococcus_pneumoniae,gut_s__Dialister_succinatiphilus,0.0682110682110682,0.221407624633431,0.339026969857218,-0.534782608695652,2.96084400940543,0.003547,decrease
s__Veillonella_tobetsuensis,gut_s__Clostridium_perfringens,0.146897546897547,0.242636386920516,0.0106119021261977,-0.466935483870968,2.9555818538094,0.003618,decrease
