t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Candidatus_Nanosynbacter_sp._TM7_076,HMDB0037840,-0.101415701415701,0.050656660412758,0.132532875929102,0.764705882352941,3.39820629127237,0.000718,increase
s__Streptococcus_cristatus,HMDB0260499,-0.28536712910271,-0.144083694083694,0.114832535885167,0.466532258064516,3.3980059471044,0.000718,increase
s__Neisseria_flavescens,HMDB0014680,-0.199522362136344,-0.0749023013460703,-0.0732569329017584,0.562180200222469,3.39492762679177,0.000728,increase
s__Leptotrichia_sp._oral_taxon_215,HMDB0036804,-0.349791859389454,-0.00121457489878543,0.171262699564586,0.623529411764706,3.39393674606325,0.000729,increase
s__Actinomyces_sp._ph3,HMDB0003355,0.0725744843391902,-0.13024453024453,-0.044609843937575,-0.768833849329205,3.39071986107077,0.000746,decrease
s__Haemophilus_sputorum,HMDB0002113,0.370688012197446,0.0854700854700855,0.0646881287726358,-0.412315270935961,3.3893770616859,0.000751,decrease
s__Alloprevotella_sp._oral_taxon_473,HMDB0001999,-0.28780487804878,-0.125440451021846,0.0235182008766914,0.576086956521739,3.38843891829824,0.000753,increase
s__Streptococcus_gordonii,HMDB0244507,-0.19333722969024,0.12027417027417,-0.0402492244597508,0.536290322580645,3.38783065543559,0.000754,increase
s__Neisseria_meningitidis,HMDB0062335,-0.0601010101010101,-0.145610859728507,-0.0635732201427745,0.61245828698554,3.38513242684207,0.000759,increase
s__Leptotrichia_wadei,HMDB0032931,-0.281336725254394,0.0612858464384829,0.094255999597089,0.524420024420024,3.38275747732205,0.000764,increase
s__Streptococcus_sp._HMSC056C01,HMDB0035639,-0.240825617521302,0.011046605386228,-0.2765003417635,0.50789766407119,3.38177755108604,0.000766,increase
s__Prevotella_intermedia,HMDB0002802,0.134199134199134,0.202083155468283,-0.187625754527163,-0.57487684729064,3.37992067685382,0.000772,decrease
s__Alloprevotella_rava,HMDB0032248,0.162390029325513,0.366386554621849,0.0523302693114014,-0.637662337662338,3.37818924968591,0.000774,decrease
s__Actinomyces_sp._ph3,HMDB0061864,-0.330786860198625,-0.0362934362934363,0.0401920768307323,0.630546955624355,3.37806013838875,0.000774,increase
s__Actinomyces_bouchesdurhonensis,HMDB0004626,-0.114080656185919,0.0783744557329463,0.00569168435269149,0.615216201423098,3.37728391614637,0.000778,increase
s__Streptococcus_gordonii,HMDB0011564,-0.281998831092928,-0.0357864357864358,0.0432199379567801,0.4625,3.37084846754561,0.000797,increase
s__Porphyromonas_somerae,HMDB0001442,-0.309574146783449,0.00295983086680761,-0.369104579630895,0.572727272727273,3.35998985620585,0.000832,increase
s__Actinomyces_sp._ICM47,HMDB0260499,0.200036912854902,0.320157090412362,0.193720844131803,-0.498522167487685,3.35969373721686,0.000833,decrease
s__Aggregatibacter_sp._2125159857,HMDB0003040,0.0343904157857646,0.0487854251012146,0.225931301403,-0.672924901185771,3.35501857396954,0.000853,decrease
