r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
s__Haemophilus_parainfluenzae:UDP-N-acetylmuramate dehydrogenase activity	-0.385973115137347	-0.396988755479321	-0.205557600294442	0.231617647058824	0.0198415384615385
s__Haemophilus_parainfluenzae:tyrosine-tRNA ligase activity	-0.482349503214494	-0.356127310844292	-0.320284978179715	0.11798128342246	0.0198415384615385
s__Haemophilus_parainfluenzae:single-stranded DNA 3'-5' exodeoxyribonuclease activity	0.594553060701784	0.408186864014801	0.175409664961904	-0.0352136752136752	0.0198415384615385
s__Haemophilus_parainfluenzae:adenyl-nucleotide exchange factor activity	-0.447866744593805	-0.45347817800648	-0.060386981439613	0.158088235294118	0.0198415384615385
s__Haemophilus_parainfluenzae:septin ring assembly	-0.391934541203974	-0.50402134553078	-0.132439837097371	0.156751336898396	0.0202385454545455
s__Haemophilus_parainfluenzae:septin ring	-0.391934541203974	-0.50402134553078	-0.132439837097371	0.156751336898396	0.0202385454545455
s__Haemophilus_parainfluenzae:vitamin B6 biosynthetic process	-0.544433849087945	-0.463007432818754	-0.087990956412009	0.0243983957219251	0.0213428571428571
s__Haemophilus_parainfluenzae:uracil phosphoribosyltransferase activity	-0.434716540035067	-0.316256908709739	0.0638046164361954	0.160427807486631	0.0220072131147541
s__Haemophilus_parainfluenzae:uracil salvage	-0.434716540035067	-0.316256908709739	0.0638046164361954	0.160427807486631	0.0220072131147541
s__Haemophilus_parainfluenzae:glycerol catabolic process	-0.532554061952075	-0.375366146458583	-0.36498827594718	0.0310828877005348	0.0220072131147541
s__Haemophilus_parainfluenzae:phosphoenolpyruvate-glycerone phosphotransferase activity	-0.532554061952075	-0.375366146458583	-0.36498827594718	0.0310828877005348	0.0220072131147541
s__Haemophilus_parainfluenzae:arginine binding	-0.45739333722969	-0.531465599390128	-0.138177611861822	0.0792112299465241	0.0229457142857143
s__Haemophilus_parainfluenzae:negative regulation of purine nucleobase metabolic process	-0.408474576271186	-0.441461054668602	-0.245577580314422	0.170821114369501	0.0234590625
s__Haemophilus_parainfluenzae:pyrroline-5-carboxylate reductase activity	-0.39333722969024	-0.390051457975986	-0.108023555391976	0.196858288770053	0.0240452307692308
s__Haemophilus_parainfluenzae:N-terminal protein amino acid acetylation	-0.437346580946815	-0.404154755098151	0.00170881749829118	0.13201871657754	0.0275744117647059
s__Haemophilus_parainfluenzae:NAD metabolic process	-0.622267679719462	-0.530550790928149	-0.20724012829276	-0.137366310160428	0.02923
s__Haemophilus_parainfluenzae:nucleoside metabolic process	-0.457568673290473	-0.534819897084048	-0.205163257794837	0.0487967914438503	0.02923
s__Haemophilus_parainfluenzae:transition metal ion binding	-0.45166569257744	-0.405374499714122	-0.239103002260897	0.10394385026738	0.0293498630136986
s__Haemophilus_parainfluenzae:protein homodimerization activity	-0.365458796025716	-0.33432437583381	0.00956937799043062	0.204545454545455	0.0294056756756757
s__Haemophilus_parainfluenzae:pyridoxal phosphate biosynthetic process	-0.544433849087945	-0.463007432818754	-0.110337031389663	-0.0250668449197861	0.03029175
s__Haemophilus_parainfluenzae:protein dimerization activity	-0.552659263588545	-0.523994663617305	-0.152295073347705	-0.0434491978609626	0.0304755555555556
s__Haemophilus_parainfluenzae:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	-0.279777907656341	-0.457442348008386	0.0146432514853567	0.185828877005348	0.0325127710843373
s__Haemophilus_parainfluenzae:purine nucleotide biosynthetic process	-0.284219754529515	-0.466361730512674	-0.210841789789158	0.176804812834225	0.0326721428571429
s__Haemophilus_parainfluenzae:chaperone binding	-0.353769725306838	-0.371221650466934	0.0166938324833062	0.185160427807487	0.0344172413793103
s__Haemophilus_parainfluenzae:ribonuclease D activity	0.395387700534759	0.37316715542522	-0.0198889916743756	-0.345614035087719	0.0349711363636364
s__Haemophilus_parainfluenzae:lipoteichoic acid biosynthetic process	-0.320631209818819	-0.351233671988389	-0.100853485064011	0.221774193548387	0.0358705617977528
s__Haemophilus_parainfluenzae:RNA binding	-0.335593220338983	-0.506765770916714	-0.195672748304327	0.10394385026738	0.0379115217391304
s__Haemophilus_parainfluenzae:ribonuclease M5 activity	-0.406136762127411	-0.520618116622556	-0.307397260273973	0.0531417112299465	0.0379115217391304
s__Haemophilus_parainfluenzae:biotin transmembrane transporter activity	-0.497019286966686	-0.459147955263383	-0.199274409800726	0	0.0400902127659575
s__Haemophilus_parainfluenzae:biotin transport	-0.497019286966686	-0.459147955263383	-0.199274409800726	0	0.0400902127659575
s__Haemophilus_parainfluenzae:quorum sensing	-0.222326125073057	-0.342710120068611	-0.06838004101162	0.250668449197861	0.04080375
s__Haemophilus_parainfluenzae:extrachromosomal circular DNA	-0.169276200436802	-0.303594296935029	-0.298805120910384	0.275293255131965	0.0419585567010309
s__Haemophilus_parainfluenzae:homoserine O-succinyltransferase activity	-0.328428830697433	-0.490480662511739	-0.272595335061088	0.11491935483871	0.0437435643564356
s__Haemophilus_parainfluenzae:L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	-0.328428830697433	-0.490480662511739	-0.272595335061088	0.11491935483871	0.0437435643564356
s__Haemophilus_parainfluenzae:coenzyme A biosynthetic process	-0.404617182933957	-0.425652753954641	-0.0701140964298859	0.0919117647058824	0.0437435643564356
s__Haemophilus_parainfluenzae:racemase and epimerase activity, acting on carbohydrates and derivatives	-0.415780245470485	-0.257632933104631	-0.204874073295126	0.0825534759358289	0.047235145631068
s__Haemophilus_parainfluenzae:tRNA (guanine-N7-)-methyltransferase activity	-0.225774400935126	-0.355898608728797	-0.0264472369735528	0.21524064171123	0.0529978846153846
s__Haemophilus_parainfluenzae:hexose metabolic process	-0.267176562094892	-0.313241697259455	-0.269011477230655	0.208577712609971	0.0602770909090909
s__Haemophilus_parainfluenzae:CAAX-box protein processing	-0.334833430742256	-0.488927005908138	-0.135522372364478	0.0621657754010695	0.0602770909090909
s__Haemophilus_parainfluenzae:manganese ion transmembrane transporter activity	-0.275511396843951	-0.356889651229274	-0.130334928229665	0.16677807486631	0.0607153846153846
s__Haemophilus_parainfluenzae:cellular manganese ion homeostasis	-0.275511396843951	-0.356889651229274	-0.130334928229665	0.16677807486631	0.0607153846153846
s__Haemophilus_parainfluenzae:S-ribosylhomocysteine lyase activity	-0.168907071887785	-0.306194015627978	-0.0701845522898154	0.245655080213904	0.0631693220338983
s__Haemophilus_parainfluenzae:rRNA processing	-0.42343658679135	-0.50569849437774	-0.202797202797203	-0.0150401069518717	0.0636359016393443
s__Haemophilus_parainfluenzae:dCMP deaminase activity	-0.368030391583869	-0.387307032590051	-0.0560492139439508	0.0892379679144385	0.0636359016393443
s__Haemophilus_parainfluenzae:pyrimidine nucleotide metabolic process	-0.368030391583869	-0.387307032590051	-0.0560492139439508	0.0892379679144385	0.0636359016393443
s__Haemophilus_parainfluenzae:transferase activity, transferring alkyl or aryl (other than methyl) groups	-0.471654003506721	-0.573241852487136	-0.211683053788317	-0.105280748663102	0.07042464
s__Haemophilus_parainfluenzae:uracil DNA N-glycosylase activity	-0.266919929865576	-0.422603392414713	-0.0801303959198696	0.10394385026738	0.0785804651162791
s__Haemophilus_parainfluenzae:ribulose-phosphate 3-epimerase activity	-0.223319696084161	-0.257632933104631	-0.183947631316052	0.20855614973262	0.0822072180451128
s__Haemophilus_parainfluenzae:RNA methyltransferase activity	-0.274108708357686	-0.278902229845626	-0.161233503338766	0.162433155080214	0.0879405882352941
s__Haemophilus_parainfluenzae:single-stranded DNA binding	-0.381122150789012	-0.480465027634839	-0.155686418844314	-0.0294117647058824	0.102892173913043
s__Haemophilus_parainfluenzae:pantetheine-phosphate adenylyltransferase activity	-0.396201052016365	-0.436325519344387	-0.121562647878437	-0.0317513368983957	0.122047552447552
s__Haemophilus_parainfluenzae:CTP biosynthetic process	-0.280011689070719	-0.42145988183724	0.0653031179346969	-0.0645053475935829	0.140676644295302
s__Haemophilus_parainfluenzae:chromate transmembrane transporter activity	-0.109466543324083	-0.0857142857142857	-0.316951469583049	-0.498803418803419	0.144481589403974
s__Haemophilus_parainfluenzae:chromate transport	-0.109466543324083	-0.0857142857142857	-0.316951469583049	-0.498803418803419	0.144481589403974
s__Haemophilus_parainfluenzae:orotate phosphoribosyltransferase activity	-0.398889538281707	-0.278978463884124	-0.0245018139754982	-0.079879679144385	0.15141038961039
s__Haemophilus_parainfluenzae:aminoacyl-tRNA hydrolase activity	-0.381881940385739	-0.341719077568134	-0.146879436353121	-0.0347593582887701	0.166371428571429
s__Haemophilus_parainfluenzae:methylenetetrahydrofolate dehydrogenase (NADP+) activity	-0.212741087083577	-0.395082904516867	0.0273410799726589	-0.00167112299465241	0.23122490797546
s__Haemophilus_parainfluenzae:dephospho-CoA kinase activity	-0.218877849210988	-0.265713741185439	-0.130395919869604	0.0738636363636364	0.251870963855422
